bowler,venue,format,innings,balls,runs_given,wickets,dot_balls,economy,average,dot_pct
A Gardner,"Kennington Oval, London",T20I,1,24,39.0,3,6,9.75,13.0,25.0
A Gardner,"Kensington Oval, Barbados",T20I,2,36,25.0,3,19,4.17,8.33,52.78
A Gardner,Kinrara Academy Oval,ODI,3,121,57.0,7,86,2.83,8.14,71.07
A Gardner,Kinrara Academy Oval,T20I,3,66,56.0,2,28,5.09,28.0,42.42
A Gardner,"Lord's, London",T20I,2,24,46.0,0,7,11.5,46.0,29.17
A Gardner,"Maharaja Yadavindra Singh International Cricket Stadium, New Chandigarh",ODI,2,102,74.0,2,62,4.35,37.0,60.78
A Gardner,Manuka Oval,T20I,3,36,48.0,1,11,8.0,48.0,30.56
A Gardner,"Manuka Oval, Canberra",ODI,1,6,7.0,0,2,7.0,7.0,33.33
A Gardner,"Manuka Oval, Canberra",T20I,3,72,78.0,6,31,6.5,13.0,43.06
A Gardner,"Manuka Oval, Canberra",Test,1,84,52.0,1,53,3.71,52.0,63.1
A Gardner,Melbourne Cricket Ground,Test,1,214,69.0,6,178,1.93,11.5,83.18
A Gardner,"Newlands, Cape Town",T20I,2,48,57.0,3,15,7.12,19.0,31.25
A Gardner,North Sydney Oval,T20I,3,42,55.0,3,15,7.86,18.33,35.71
A Gardner,"North Sydney Oval, Sydney",ODI,4,151,102.0,8,97,4.05,12.75,64.24
A Gardner,"North Sydney Oval, Sydney",T20I,3,53,71.0,1,19,8.04,71.0,35.85
A Gardner,"Old Trafford, Manchester",T20I,1,18,16.0,2,6,5.33,8.0,33.33
A Gardner,Providence Stadium,T20I,4,60,70.0,5,20,7.0,14.0,33.33
A Gardner,"R Premadasa Stadium, Colombo",ODI,1,42,17.0,1,32,2.43,17.0,76.19
A Gardner,"Ray Mitchell Oval, Harrup Park, Mackay",ODI,3,96,74.0,1,52,4.62,74.0,54.17
A Gardner,Reliance Stadium,ODI,2,102,78.0,2,63,4.59,39.0,61.76
A Gardner,Seddon Park,T20I,1,6,8.0,0,4,8.0,8.0,66.67
A Gardner,Sharjah Cricket Stadium,T20I,3,66,68.0,2,22,6.18,34.0,33.33
A Gardner,"Shere Bangla National Stadium, Mirpur",ODI,3,128,69.0,8,100,3.23,8.62,78.12
A Gardner,"Shere Bangla National Stadium, Mirpur",T20I,3,54,42.0,4,25,4.67,10.5,46.3
A Gardner,"Simonds Stadium, South Geelong",T20I,1,6,3.0,1,3,3.0,3.0,50.0
A Gardner,"Sir Vivian Richards Stadium, Antigua",ODI,1,42,23.0,2,28,3.29,11.5,66.67
A Gardner,"Sir Vivian Richards Stadium, North Sound",T20I,2,48,37.0,5,23,4.62,7.4,47.92
A Gardner,"St George's Park, Gqeberha",T20I,3,54,56.0,2,24,6.22,28.0,44.44
A Gardner,St Lawrence Ground,ODI,1,30,15.0,0,24,3.0,15.0,80.0
A Gardner,Sydney Showground Stadium,T20I,1,18,19.0,0,2,6.33,19.0,11.11
A Gardner,The Cooper Associates County Ground,Test,1,108,36.0,1,85,2.0,36.0,78.7
A Gardner,"The Cooper Associates County Ground, Taunton",ODI,1,60,39.0,4,33,3.9,9.75,55.0
A Gardner,"The Rose Bowl, Southampton",ODI,1,60,54.0,3,24,5.4,18.0,40.0
A Gardner,"The Rose Bowl, Southampton",T20I,1,12,18.0,0,4,9.0,18.0,33.33
