striker,format,cluster,average,strike_rate,boundary_pct,dot_pct,runs,player_score
Dylan Steyn,T20I,2,38.21,134.09,18.05,36.09,535,5063.2
L Louwrens,ODI,1,23.26,59.05,6.95,66.78,535,2282.0
KC D'Souza,T20I,2,33.44,158.28,20.41,35.8,535,5381.8
D Doyle-Calle,T20I,0,25.43,130.24,16.34,41.22,534,4343.1
PA Raikes,T20I,2,28.11,132.18,17.57,40.59,534,4561.5
AJ Hall,Test,1,29.61,44.79,5.97,77.06,533,2210.4
PV Vuniwaqa,T20I,2,35.53,148.88,23.18,48.04,533,5339.2
RE van der Merwe,T20I,0,17.16,126.97,13.13,31.26,532,3915.5
Umar Gul,Test,1,10.23,49.08,6.92,79.7,532,1606.4
KU Carty,CPL,0,29.56,117.96,12.42,38.36,532,4106.6
Z Khan,ODI,5,12.07,71.28,8.46,62.68,531,2190.8
Aman Desai,T20I,0,17.7,116.7,14.07,42.2,531,3699.4
GR Adair,T20I,2,22.12,141.6,21.6,46.93,531,4645.4
RS Bopara,IPL,0,27.95,117.22,12.14,35.32,531,4060.6
Imran Nazir,ODI,5,25.29,91.71,14.16,62.0,531,3360.1
J Mubarak,ODI,5,24.14,65.8,5.7,59.48,531,2429.1
JL Jonassen,ODI,5,22.08,86.32,7.17,45.93,530,2928.2
Sana Mir,T20I,5,16.03,72.66,4.95,47.39,529,2342.6
M Bibi,T20I,5,12.3,86.44,5.07,42.65,529,2469.9
M Coetzee,T20I,2,19.56,130.05,20.44,41.63,528,4386.9
LV van Beek,ODI,5,23.95,87.4,8.46,51.74,527,3015.9
DJ Hawoe,T20I,0,10.54,120.32,13.7,42.24,527,3455.3
CR Brathwaite,ODI,5,18.17,88.57,9.41,52.1,527,2873.6
MK Lomror,IPL,0,17.57,141.29,16.89,32.17,527,4366.7
Iftikhar Ahmed,ODI,0,32.94,108.66,12.99,42.06,527,4088.6
BM Duckett,T20I,2,26.35,153.2,22.38,27.33,527,5296.5
JP Faulkner,IPL,0,18.82,135.13,15.13,32.56,527,4205.1
Tenjin Rabgey,T20I,5,15.94,87.67,9.67,52.5,526,2789.0
C Kieswetter,T20I,0,22.87,113.36,15.09,48.28,526,3827.3
SO Ngoche,T20I,0,15.94,114.1,13.02,40.78,526,3546.8
MD Stoneman,Test,1,27.68,44.28,5.64,78.87,526,2107.9
PJ Cummins,ODI,5,13.82,82.68,8.5,56.38,525,2506.6
YS Samra,T20I,2,37.43,158.79,23.64,36.36,524,5744.2
Ritu Moni,ODI,5,16.38,64.29,6.63,62.21,524,2139.1
IA De Silva,T20I,0,23.82,107.6,14.99,50.92,524,3738.2
T Jamtsho,T20I,0,14.56,114.41,15.5,46.94,524,3576.4
RJ Peterson,ODI,5,19.37,83.41,8.61,51.36,523,2803.6
JJ Roy,BBL,2,23.77,132.07,19.44,40.91,523,4515.7
KA Jamieson,Test,1,20.92,59.98,7.22,69.84,523,2179.6
A Sharma,T20I,0,20.88,108.07,14.29,47.83,522,3631.7
Jaspal Singh,T20I,0,21.75,107.19,13.14,48.25,522,3569.4
Q Joseph,T20I,0,17.37,113.26,18.26,53.7,521,3752.8
K Verreynne,ODI,6,43.42,90.61,8.7,46.26,521,3884.0
Zakir Hasan,Test,1,22.65,46.89,6.03,75.7,521,1980.8
Nain Abidi,ODI,1,20.04,55.78,5.89,66.7,521,2044.2
Mohammad Nawaz (3),PSL,0,19.3,108.77,12.32,42.59,521,3525.5
