striker,format,cluster,average,strike_rate,boundary_pct,dot_pct,runs,player_score
T Perera,T20I,0,20.56,103.74,13.08,49.53,555,3459.5
DD Ebrahim,ODI,1,19.14,54.25,3.52,61.39,555,1912.1
NR Hobson,BBL,0,22.16,132.85,15.83,34.29,554,4324.7
CS Mugeri-Tiripano,ODI,6,29.16,70.22,8.87,62.36,554,2852.4
OGL Bascome,T20I,2,20.52,137.81,19.65,46.02,554,4419.2
EL Bartram,T20I,0,24.04,113.32,14.75,44.47,553,3906.4
M Jansen,ODI,0,26.33,112.63,14.05,46.84,553,3902.2
B Kumar,Test,1,22.08,45.06,6.53,78.12,552,1972.0
B Kumar,ODI,5,15.33,73.9,7.23,54.89,552,2381.9
M Mwatile,T20I,5,13.8,85.45,9.13,53.1,552,2637.2
Shahid Wasif,T20I,0,30.67,116.21,13.68,40.84,552,4175.5
SM Sharif,ODI,5,17.74,74.63,6.24,53.32,550,2438.6
MJ Lumb,T20I,2,22.0,133.82,20.68,46.96,550,4473.9
BJ Haddin,BBL,0,25.0,132.85,16.91,39.86,550,4423.0
G Voll,ODI,7,49.91,112.04,16.53,44.9,549,4970.7
JA Morkel,T20I,0,21.96,142.6,16.88,35.84,549,4499.7
Faheem Ashraf,T20I,0,14.08,139.34,17.26,38.58,549,4145.2
Muhammad Amir,T20I,0,14.45,103.98,12.31,42.61,549,3280.3
JM Vince,Test,1,24.91,49.82,7.82,79.0,548,2229.6
Haider Ali,T20I,0,15.22,124.55,15.45,38.86,548,3857.7
GK Diviya,T20I,5,12.45,62.49,4.56,58.15,548,1890.3
L Jack,T20I,5,15.6,84.91,7.47,48.21,546,2655.5
D Norotam,T20I,2,28.74,142.56,19.84,39.69,546,4895.3
Kycia A Knight,T20I,5,18.83,86.67,7.94,46.98,546,2850.0
N Deonarine,ODI,1,24.82,63.86,6.32,61.75,546,2438.8
BM Duckett,BBL,2,27.25,139.03,18.37,33.42,545,4781.8
V Sibanda,Test,1,22.71,49.64,7.47,78.23,545,2120.8
GP Thorpe,Test,1,45.33,46.06,5.76,75.19,544,2805.2
AR Naidoo,T20I,0,27.2,103.23,11.2,44.4,544,3647.7
JP Inglis,IPL,2,36.27,173.25,27.39,33.44,544,6196.3
Imam-ul-Haq,PSL,0,24.64,124.31,14.45,30.73,542,4256.2
GM Harris,T20I,2,27.1,156.2,22.77,31.12,542,5340.4
ME Bouchier,ODI,0,33.81,104.04,15.96,53.46,541,4094.3
AU Rashid,Test,1,19.29,42.52,5.2,77.87,540,1741.6
Ayan Khan,T20I,0,18.0,106.72,9.68,38.74,540,3330.1
MR Swart,T20I,0,28.37,116.92,12.8,36.01,539,4107.5
PHKD Mendis,ODI,5,23.43,79.97,8.16,54.3,539,2838.5
Raghav Dhawan,T20I,0,29.94,108.02,11.22,41.48,539,3859.3
AJ Mosca,T20I,3,33.69,130.19,14.73,34.3,539,4644.4
Babar Hayat,ODI,6,41.46,73.33,8.57,61.09,539,3352.7
CJ Anderson,IPL,0,24.45,127.19,16.78,43.74,538,4257.9
D Kansonkho,T20I,5,18.55,91.97,9.91,49.23,538,3011.1
CN Nation,T20I,5,16.27,88.61,7.92,49.83,537,2737.5
LPC Silva,Test,1,33.56,62.88,8.08,68.74,537,2769.1
AG Cremer,Test,1,19.89,33.11,3.02,81.01,537,1487.6
L Lamin,T20I,5,17.87,92.25,9.64,51.29,536,2941.7
Shamim Hossain,T20I,0,19.14,124.07,15.51,39.81,536,3986.6
LE Plunkett,ODI,0,18.48,108.94,12.4,42.28,536,3509.1
Sandeep Goud,ODI,5,23.26,70.95,7.16,59.95,535,2558.8
