striker,bowler,format,balls_faced,runs,dismissals,fours,sixes,dot_balls,strike_rate,average
N Joshi,Aysha,T20I,15,21,0,2,0,2,140.0,21.0
N Joshi,C Ostergaard,T20I,13,15,0,2,0,4,115.38,15.0
N Joshi,CM Madsen,T20I,11,11,0,2,0,6,100.0,11.0
N Joshi,ER Oza,T20I,13,4,3,0,0,11,30.77,1.33
N Joshi,G Candiru,T20I,15,13,2,1,0,6,86.67,6.5
N Joshi,H Hotchandani,T20I,12,4,0,0,0,9,33.33,4.0
N Joshi,Khadija Imtiaz,T20I,14,20,2,2,0,3,142.86,10.0
N Joshi,Kyte Gullem Keen,T20I,10,7,0,1,0,7,70.0,7.0
N Joshi,MT Jacob,T20I,13,8,1,0,0,5,61.54,8.0
N Joshi,NP Dalgaard,T20I,14,23,0,3,0,2,164.29,23.0
N Joshi,S Kotte,T20I,12,2,2,0,0,10,16.67,1.0
N Joshi,Shahreeennawab,T20I,18,17,1,1,0,6,94.44,17.0
N Khanna,NSK Mehta,T20I,12,19,0,1,1,3,158.33,19.0
N Khanna,Saber Zakhil,T20I,11,15,1,2,0,4,136.36,15.0
N Kingsley,D Nanayakkara,T20I,11,15,0,0,1,3,136.36,15.0
N Kingsley,Ilenia Sims,T20I,10,5,2,0,0,6,50.0,2.5
N Kingsley,K Tereza,T20I,11,11,1,1,0,5,100.0,11.0
N Koncharoenkai,A Aitken,T20I,10,9,0,0,0,2,90.0,9.0
N Koncharoenkai,A Cheung,T20I,12,13,0,1,0,3,108.33,13.0
N Koncharoenkai,A Fujikawa,T20I,10,15,1,0,0,0,150.0,15.0
N Koncharoenkai,A Kato-Stafford,T20I,13,6,0,0,0,7,46.15,6.0
N Koncharoenkai,A Mazvishaya,T20I,48,52,0,5,0,14,108.33,52.0
N Koncharoenkai,A Mohammed,T20I,12,10,0,0,0,4,83.33,10.0
N Koncharoenkai,AH Maqsood,T20I,30,22,2,2,0,16,73.33,11.0
N Koncharoenkai,AI Chudasama,T20I,12,12,1,2,0,7,100.0,12.0
N Koncharoenkai,ASS Fletcher,ODI,10,8,1,1,0,5,80.0,8.0
N Koncharoenkai,Ainna Hamizah Hashim,T20I,29,22,0,1,0,13,75.86,22.0
N Koncharoenkai,Aisya Eleesa,T20I,14,9,0,1,0,8,64.29,9.0
N Koncharoenkai,Amalin Sorfina,T20I,10,9,0,0,0,4,90.0,9.0
N Koncharoenkai,BMSM Kumari,T20I,25,23,1,3,0,12,92.0,23.0
N Koncharoenkai,C Aweko,T20I,10,13,0,2,0,3,130.0,13.0
N Koncharoenkai,C Chatonzwa,T20I,16,19,0,2,0,5,118.75,19.0
N Koncharoenkai,C Murray,ODI,10,12,1,2,0,5,120.0,12.0
N Koncharoenkai,C de Lange,ODI,30,19,0,1,0,19,63.33,19.0
N Koncharoenkai,C de Lange,T20I,52,45,2,3,0,20,86.54,22.5
N Koncharoenkai,CR Seneviratna,T20I,10,2,0,0,0,8,20.0,2.0
N Koncharoenkai,Chan Ka Man,T20I,23,18,1,1,0,9,78.26,18.0
N Koncharoenkai,Chaya Mughal,T20I,13,16,0,1,0,2,123.08,16.0
N Koncharoenkai,Diana Baig,T20I,12,9,0,1,0,7,75.0,9.0
N Koncharoenkai,EN Lynch,ODI,13,6,0,0,0,8,46.15,6.0
N Koncharoenkai,EN Lynch,T20I,38,25,1,1,0,21,65.79,25.0
N Koncharoenkai,ER Oza,T20I,21,17,0,1,0,8,80.95,17.0
N Koncharoenkai,F Overdijk,ODI,36,28,1,3,0,21,77.78,28.0
N Koncharoenkai,F Overdijk,T20I,10,16,0,2,0,0,160.0,16.0
N Koncharoenkai,Fahima Khatun,ODI,11,3,1,0,0,8,27.27,3.0
N Koncharoenkai,G Kodali,T20I,12,12,0,2,0,7,100.0,12.0
N Koncharoenkai,H Hotchandani,T20I,44,25,2,2,0,27,56.82,12.5
N Koncharoenkai,HK Matthews,T20I,12,8,0,0,0,5,66.67,8.0
N Koncharoenkai,HWA Landheer,T20I,19,10,1,0,0,11,52.63,10.0
N Koncharoenkai,I Barma,T20I,15,12,1,1,0,7,80.0,12.0
N Koncharoenkai,I Nakisuuyi,T20I,19,22,0,2,0,7,115.79,22.0
N Koncharoenkai,I Nandakumar,T20I,24,16,0,1,0,14,66.67,16.0
N Koncharoenkai,IJR Zwilling,ODI,44,35,2,6,0,29,79.55,17.5
N Koncharoenkai,IJR Zwilling,T20I,74,60,3,8,0,46,81.08,20.0
N Koncharoenkai,J Nkomo,T20I,52,47,0,8,0,29,90.38,47.0
N Koncharoenkai,JA Diergaardt,T20I,17,14,0,2,0,10,82.35,14.0
N Koncharoenkai,K Fraser,T20I,16,10,1,1,0,11,62.5,10.0
N Koncharoenkai,K Joshi,T20I,25,27,0,3,0,9,108.0,27.0
N Koncharoenkai,K Kunwar,T20I,35,47,0,7,0,15,134.29,47.0
N Koncharoenkai,K McGill,T20I,11,5,0,0,0,6,45.45,5.0
N Koncharoenkai,K Ndlovu,T20I,33,40,1,6,0,14,121.21,40.0
N Koncharoenkai,K Ramharack,ODI,10,3,0,0,0,7,30.0,3.0
N Koncharoenkai,KC Thompson,T20I,29,26,1,1,0,10,89.66,26.0
N Koncharoenkai,KDU Prabodhani,T20I,13,14,0,2,0,6,107.69,14.0
N Koncharoenkai,KE Bryce,T20I,21,8,1,0,0,15,38.1,8.0
N Koncharoenkai,KY Chan,T20I,35,36,2,3,0,13,102.86,18.0
N Koncharoenkai,L Delany,T20I,14,13,1,2,0,8,92.86,13.0
N Koncharoenkai,L Klokgieters,T20I,11,18,0,3,0,5,163.64,18.0
N Koncharoenkai,L Tshuma,T20I,36,32,2,4,0,18,88.89,16.0
N Koncharoenkai,M Bibi,T20I,18,21,0,3,0,7,116.67,21.0
N Koncharoenkai,M Hill,T20I,12,19,0,2,0,3,158.33,19.0
N Koncharoenkai,M Upadhayay,T20I,49,62,1,7,0,15,126.53,62.0
N Koncharoenkai,M Wai Siu,T20I,40,36,0,4,0,20,90.0,36.0
N Koncharoenkai,MH Ushanga,T20I,12,10,0,1,0,5,83.33,10.0
N Koncharoenkai,Ma Ruike,T20I,13,20,0,4,0,7,153.85,20.0
N Koncharoenkai,Mahirah Izzati Ismail,T20I,22,26,1,3,0,6,118.18,26.0
N Koncharoenkai,Marufa Akter,T20I,10,12,0,2,0,4,120.0,12.0
N Koncharoenkai,N Benjamin,T20I,10,5,1,1,0,8,50.0,5.0
N Koncharoenkai,N Gwanzura,T20I,11,6,0,0,0,5,54.55,6.0
N Koncharoenkai,N Sibanda,T20I,60,46,0,7,0,38,76.67,46.0
N Koncharoenkai,Nahida Akter,T20I,17,9,1,1,0,11,52.94,9.0
N Koncharoenkai,Nur Arianna Natsya,T20I,26,39,1,6,0,9,150.0,39.0
N Koncharoenkai,Nur Dania Syuhada,T20I,20,13,0,1,0,10,65.0,13.0
N Koncharoenkai,O Bell,T20I,11,0,1,0,0,11,0.0,0.0
N Koncharoenkai,O Prendergast,T20I,13,22,0,3,0,3,169.23,22.0
N Koncharoenkai,P Marange,T20I,47,28,1,0,0,21,59.57,28.0
N Koncharoenkai,PA Chatterji,T20I,16,7,2,0,0,9,43.75,3.5
N Koncharoenkai,Puja Mahato,T20I,24,35,0,4,0,6,145.83,35.0
N Koncharoenkai,R Chaudhary,T20I,17,8,0,0,0,9,47.06,8.0
N Koncharoenkai,R Rijke,ODI,17,10,1,1,0,11,58.82,10.0
N Koncharoenkai,R Slater,T20I,20,19,0,3,0,11,95.0,19.0
N Koncharoenkai,RC Belbashi,T20I,34,29,0,2,0,14,85.29,29.0
N Koncharoenkai,Ritu Moni,T20I,11,6,0,0,0,7,54.55,6.0
N Koncharoenkai,Riya Sharma,T20I,13,9,1,0,0,5,69.23,9.0
N Koncharoenkai,Ruchitha Venkatesh,T20I,10,13,0,2,0,3,130.0,13.0
N Koncharoenkai,S Kato,T20I,11,12,0,2,0,5,109.09,12.0
N Koncharoenkai,S Kotte,T20I,23,14,0,1,0,13,60.87,14.0
N Koncharoenkai,S Siegers,T20I,34,45,0,4,0,7,132.35,45.0
N Koncharoenkai,SF Jerome,T20I,12,8,1,0,0,5,66.67,8.0
N Koncharoenkai,SIP Fernando,T20I,18,13,1,1,0,9,72.22,13.0
N Koncharoenkai,SN Shihepo,T20I,13,16,0,3,0,6,123.08,16.0
N Koncharoenkai,SR Magar,T20I,52,60,1,8,0,22,115.38,60.0
N Koncharoenkai,Salma Khatun,T20I,17,8,1,0,0,10,47.06,8.0
N Koncharoenkai,Sasha Azmi,T20I,12,7,0,0,0,6,58.33,7.0
N Koncharoenkai,Siow Tzin Yee,T20I,14,7,0,1,0,10,50.0,7.0
N Koncharoenkai,Suabika Manivannan,T20I,15,27,0,5,0,4,180.0,27.0
N Koncharoenkai,V Araa,T20I,10,4,0,0,0,6,40.0,4.0
N Koncharoenkai,V Hamunyela,T20I,11,5,0,0,0,6,45.45,5.0
N Koncharoenkai,Vaishnave Mahesh,T20I,40,35,2,1,0,15,87.5,17.5
N Koncharoenkai,W Mwatile,T20I,25,30,1,6,0,14,120.0,30.0
N Koncharoenkai,WA Duraisingam,T20I,25,30,1,3,0,7,120.0,30.0
N Koncharoenkai,WGAKK Kulasuriya,T20I,20,18,1,2,0,9,90.0,18.0
N Koncharoenkai,WK Dilhari,T20I,20,8,0,0,0,11,40.0,8.0
N Koncharoenkai,Wang Huiying,T20I,14,16,0,1,0,5,114.29,16.0
N Koncharoenkai,Xu Qian,T20I,17,14,0,0,0,7,82.35,14.0
N Koncharoenkai,Zhao Yihan,T20I,10,9,0,0,0,2,90.0,9.0
N Koncharoenkai,Zon Lin,T20I,11,15,0,2,0,5,136.36,15.0
N Krishna,YYM Jakda,T20I,10,14,1,2,0,3,140.0,14.0
N Liyanage,E Kallous,T20I,10,7,0,0,0,3,70.0,7.0
N Liyanage,M Syrioti,T20I,20,12,0,0,0,11,60.0,12.0
N Liyanage,M Vervitsioti,T20I,18,6,0,0,0,10,33.33,6.0
N Mabila,A Salomao,T20I,10,0,0,0,0,10,0.0,0.0
N Mabila,L Bull,T20I,12,8,1,1,0,8,66.67,8.0
N Madziva,AM Phangiso,ODI,19,15,1,2,0,13,78.95,15.0
N Madziva,AR Patel,ODI,13,3,1,0,0,10,23.08,3.0
N Madziva,Imran Tahir,ODI,14,7,2,1,0,10,50.0,3.5
N Madziva,JJ Bumrah,ODI,12,4,0,0,0,9,33.33,4.0
N Madziva,Mustafizur Rahman,T20I,16,3,1,0,0,12,18.75,3.0
N Madziva,Rubel Hossain,ODI,10,6,0,0,0,6,60.0,6.0
N Magagula,MH Ushanga,T20I,14,0,1,0,0,14,0.0,0.0
N Magagula,SF Jerome,T20I,10,3,0,0,0,7,30.0,3.0
N Mapunda,CO Obuya,T20I,11,6,1,1,0,9,54.55,6.0
N Mapunda,Vraj Patel,T20I,10,9,0,1,0,5,90.0,9.0
N Mlaba,CE Dean,ODI,15,11,1,2,0,10,73.33,11.0
N Mlaba,D Brown,Test,13,11,1,2,0,9,84.62,11.0
N Mlaba,LK Bell,Test,12,4,1,1,0,11,33.33,4.0
N Mlaba,S Ecclestone,ODI,18,9,1,1,0,13,50.0,9.0
N Mugabe,AR Ramjani,T20I,10,2,0,0,0,8,20.0,2.0
N Mugabe,C Udekwe,T20I,16,20,2,1,1,7,125.0,10.0
N Mugabe,E Kubwimana,T20I,11,30,0,4,1,1,272.73,30.0
N Mugabe,E Rukiriza,T20I,12,14,0,1,1,6,116.67,14.0
N Mugabe,E Sebareme,T20I,11,15,0,0,1,2,136.36,15.0
N Mugabe,Joshua Asia,T20I,12,4,0,0,0,9,33.33,4.0
N Mugabe,M Akayezu,T20I,19,28,1,3,1,8,147.37,28.0
N Mugabe,Mohameed Taiwo,T20I,27,23,0,3,0,17,85.19,23.0
N Mugabe,Muhammad Nadir,T20I,21,25,1,2,2,12,119.05,25.0
N Mugabe,N Gnanapragasam,T20I,10,5,0,1,0,8,50.0,5.0
N Mugabe,N Krishna,T20I,12,4,1,0,0,8,33.33,4.0
N Mugabe,P Useni,T20I,15,22,1,3,1,7,146.67,22.0
N Mugabe,S Rukmal,T20I,20,18,0,1,1,11,90.0,18.0
N Mugabe,SZ Vayani,T20I,19,27,0,3,1,7,142.11,27.0
N Mugabe,Sami Sohail,T20I,17,17,1,1,0,5,100.0,17.0
N Mugabe,Z Bimenyimana,T20I,13,21,1,2,1,4,161.54,21.0
N Naranbaatar,K Kato-Stafford,T20I,16,5,2,1,0,14,31.25,2.5
N Naranbaatar,K Lake,T20I,14,2,1,0,0,13,14.29,2.0
N Navaika,AF Aoina,T20I,12,5,0,0,0,8,41.67,5.0
N Navaika,C Agafili,T20I,13,8,1,1,0,9,61.54,8.0
N Navaika,ECB Moore,T20I,10,7,0,0,0,5,70.0,7.0
N Navaika,ET Williams,T20I,11,5,0,1,0,9,45.45,5.0
N Navaika,GP Tom,T20I,11,6,0,0,0,6,54.55,6.0
N Navaika,I Waqavakatoga,T20I,10,4,0,0,0,6,40.0,4.0
N Navaika,Ilenia Sims,T20I,17,12,0,0,0,8,70.59,12.0
N Navaika,J Maguire,T20I,11,10,0,2,0,7,90.91,10.0
N Navaika,J Sanele,T20I,23,23,1,2,0,10,100.0,23.0
N Navaika,K Arua,T20I,11,6,1,0,0,6,54.55,6.0
N Navaika,K Ndlovu,T20I,15,7,0,1,0,11,46.67,7.0
N Navaika,M Biu,T20I,13,17,0,2,0,5,130.77,17.0
N Navaika,M Tom,T20I,11,7,1,1,0,7,63.64,7.0
N Navaika,NK Ariani,T20I,11,4,1,0,0,7,36.36,4.0
N Navaika,NMP Suwandewi,T20I,13,7,0,1,0,8,53.85,7.0
N Navaika,NW Sariani,T20I,19,14,0,1,0,9,73.68,14.0
N Navaika,O Lefaga,T20I,16,11,1,1,0,10,68.75,11.0
N Navaika,Puja Mahato,T20I,18,9,0,1,0,12,50.0,9.0
N Navaika,R Chaudhary,T20I,11,12,1,2,0,5,109.09,12.0
N Navaika,S Vaia,T20I,10,7,0,0,0,5,70.0,7.0
N Navaika,T Chopra,T20I,13,9,0,1,0,8,69.23,9.0
N Navaika,T Iosefo,T20I,10,8,1,0,0,4,80.0,8.0
N Ncube,DL Vettori,Test,12,11,0,0,1,8,91.67,11.0
N Nipiko,CJA Amini,T20I,17,16,1,2,0,8,94.12,16.0
N Nipiko,CK Jasmat,T20I,10,13,0,1,1,5,130.0,13.0
N Nipiko,D Finau,T20I,19,35,2,4,2,7,184.21,17.5
N Nipiko,D Visser,T20I,11,17,0,2,0,1,154.55,17.0
N Nipiko,DC Smith,T20I,16,13,0,2,0,10,81.25,13.0
N Nipiko,Fitri Sham,T20I,22,13,0,0,0,9,59.09,13.0
N Nipiko,HER Tyler,T20I,20,25,1,2,1,9,125.0,25.0
N Nipiko,Huzaifa Mohammed,T20I,10,5,0,0,0,6,50.0,5.0
N Nipiko,KDA Lukies,T20I,15,10,1,1,0,9,66.67,10.0
N Nipiko,Karweng NG,T20I,12,7,0,0,0,6,58.33,7.0
N Nipiko,L Denny,T20I,15,34,0,1,4,4,226.67,34.0
N Nipiko,L Siaka,T20I,10,6,1,0,0,5,60.0,6.0
N Nipiko,LJ Myott,T20I,11,15,0,2,0,4,136.36,15.0
N Nipiko,Mohamed Shafeeq,T20I,11,10,1,1,0,4,90.91,10.0
N Nipiko,N Pokana,T20I,12,11,0,0,1,7,91.67,11.0
N Nipiko,Nazril Rahman,T20I,21,40,0,1,4,6,190.48,40.0
N Nipiko,Noah Mead,T20I,13,17,1,1,1,4,130.77,17.0
N Nipiko,P Kumbhare,T20I,12,9,0,0,1,8,75.0,9.0
N Nipiko,Parvindar Kumar,T20I,11,6,1,0,0,6,54.55,6.0
N Nipiko,Pavandeep Singh,T20I,33,20,1,0,0,15,60.61,20.0
N Nipiko,R Sakurano-Thomas,T20I,15,25,0,2,0,1,166.67,25.0
N Nipiko,S Muniandy,T20I,21,31,1,1,2,6,147.62,31.0
N Nipiko,S Ravichandran,T20I,20,21,1,1,1,8,105.0,21.0
N Nipiko,S Tabuisulu,T20I,21,25,1,3,1,10,119.05,25.0
N Nipiko,SF Tiai,T20I,29,35,1,0,2,10,120.69,35.0
N Nipiko,SM Nash,T20I,12,16,0,3,0,5,133.33,16.0
N Nipiko,T Vanuarua,T20I,16,19,1,4,0,9,118.75,19.0
N Nipiko,Virandeep Singh,T20I,19,27,0,0,1,3,142.11,27.0
N Niranjana,A Shrubsole,Test,34,17,0,3,0,28,50.0,17.0
N Niranjana,HC Knight,ODI,10,4,1,0,0,6,40.0,4.0
N Niranjana,JL Gunn,ODI,26,9,1,2,0,23,34.62,9.0
N Niranjana,JL Gunn,Test,23,7,0,1,0,19,30.43,7.0
N Niranjana,LA Marsh,ODI,11,4,1,0,0,8,36.36,4.0
N Niranjana,SB Odedra,Test,11,1,0,0,0,10,9.09,1.0
N Nojic,A Stoilova,T20I,19,16,0,3,0,10,84.21,16.0
N Nojic,D Ruynekova,T20I,11,6,1,0,0,4,54.55,6.0
N Nojic,Deya Stefanova,T20I,13,16,0,2,0,4,123.08,16.0
N Nojic,G Ilarionova,T20I,18,10,0,0,0,10,55.56,10.0
N Nojic,K Paskova,T20I,13,12,0,1,0,4,92.31,12.0
N Nuntarach,DJ Hawoe,T20I,12,3,3,0,0,9,25.0,1.0
N Nuntarach,F Banunaek,T20I,13,4,1,0,0,9,30.77,4.0
N Nuntarach,GD Arta,T20I,10,4,0,0,0,6,40.0,4.0
N Nuntarach,Hisham Sheikh,T20I,13,9,0,0,0,4,69.23,9.0
N Nuntarach,IKEG Artawan,T20I,10,16,2,1,1,2,160.0,8.0
N Nuntarach,Ishtiaq Ahmad,T20I,10,5,0,0,0,4,50.0,5.0
N Nuntarach,RM Koda,T20I,15,6,0,0,0,9,40.0,6.0
N Nuntarach,S Pradhan,T20I,13,8,1,0,0,6,61.54,8.0
N Nuntarach,Usman Khalid,T20I,11,5,0,0,0,6,45.45,5.0
N Nuntarach,Usman Najeeb,T20I,10,11,1,1,0,3,110.0,11.0
N Nuntarach,Virandeep Singh,T20I,10,4,1,0,0,7,40.0,4.0
N Nuntarach,Zain Ul Abidin,T20I,12,7,1,1,0,8,58.33,7.0
N Pathan,MNR Cooray,T20I,20,28,0,0,2,5,140.0,28.0
N Pathan,Mohamed Mahfooz,T20I,23,29,0,1,2,8,126.09,29.0
N Pathan,Umar Adam,T20I,11,6,1,0,0,5,54.55,6.0
N Pathan,Virandeep Singh,T20I,12,19,0,2,1,5,158.33,19.0
N Pathan,WJ Malinda,T20I,15,21,0,1,2,9,140.0,21.0
N Patron Fuentes,AI Chudasama,T20I,11,3,2,0,0,9,27.27,1.5
N Peter,Mohammad Nawaz,ODI,17,8,0,1,0,12,47.06,8.0
N Pokana,Khawar Ali,ODI,10,4,0,0,0,6,40.0,4.0
N Pooran,A Dutt,ODI,43,36,3,2,2,27,83.72,12.0
N Pooran,A Kamboj,IPL,19,57,1,3,7,6,300.0,57.0
N Pooran,A Nortje,T20I,12,17,2,1,1,4,141.67,8.5
N Pooran,A Zampa,ODI,24,19,1,2,0,12,79.17,19.0
N Pooran,A Zampa,T20I,25,20,1,1,1,13,80.0,20.0
N Pooran,AD Russell,IPL,23,45,1,4,4,10,195.65,45.0
N Pooran,AJ Turner,ODI,21,21,1,0,2,11,100.0,21.0
N Pooran,AK Markram,ODI,17,10,0,1,0,10,58.82,10.0
N Pooran,AR McBrine,ODI,36,40,3,4,2,21,111.11,13.33
N Pooran,AR Patel,ODI,31,35,0,3,1,10,112.9,35.0
N Pooran,AR Patel,T20I,10,35,1,2,4,2,350.0,35.0
N Pooran,AU Rashid,ODI,26,31,1,1,1,8,119.23,31.0
N Pooran,AU Rashid,T20I,75,82,4,2,4,26,109.33,20.5
N Pooran,Aarif Sheikh,ODI,11,19,0,3,0,1,172.73,19.0
N Pooran,Arshdeep Singh,IPL,33,56,2,8,0,7,169.7,28.0
N Pooran,Arshdeep Singh,T20I,17,13,0,0,1,8,76.47,13.0
N Pooran,Avesh Khan,IPL,17,14,2,0,1,8,82.35,7.0
N Pooran,Avesh Khan,ODI,10,10,0,0,1,5,100.0,10.0
N Pooran,Avesh Khan,T20I,23,45,0,7,1,6,195.65,45.0
N Pooran,B Kumar,IPL,17,30,0,3,1,3,176.47,30.0
N Pooran,B Kumar,T20I,44,61,2,5,4,20,138.64,30.5
N Pooran,BC Fortuin,ODI,27,35,0,3,2,11,129.63,35.0
N Pooran,BC Fortuin,T20I,11,32,0,0,5,4,290.91,32.0
N Pooran,BFW de Leede,ODI,14,10,0,0,1,10,71.43,10.0
N Pooran,BJ McMullen,ODI,17,10,0,1,0,12,58.82,10.0
N Pooran,C Campher,ODI,11,5,0,1,0,9,45.45,5.0
N Pooran,CA Young,ODI,28,19,1,3,0,18,67.86,19.0
N Pooran,CAK Rajitha,ODI,22,22,0,1,1,9,100.0,22.0
N Pooran,CJ Jordan,T20I,25,33,1,4,1,9,132.0,33.0
N Pooran,CR Woakes,T20I,10,22,1,2,2,4,220.0,22.0
N Pooran,CV Varun,IPL,51,82,3,4,8,22,160.78,27.33
N Pooran,D Pretorius,IPL,12,21,0,2,1,3,175.0,21.0
N Pooran,DJ Bravo,IPL,13,26,0,3,1,3,200.0,26.0
N Pooran,DJ Hooda,ODI,20,23,0,1,2,10,115.0,23.0
N Pooran,DL Chahar,IPL,17,39,1,1,5,7,229.41,39.0
N Pooran,DL Chahar,ODI,14,19,0,2,0,3,135.71,19.0
N Pooran,DL Chahar,T20I,22,34,1,3,2,8,154.55,34.0
N Pooran,DM de Silva,ODI,38,31,0,3,1,22,81.58,31.0
N Pooran,DS Airee,ODI,24,18,1,2,0,14,75.0,18.0
N Pooran,G Coetzee,ODI,15,14,1,2,0,7,93.33,14.0
N Pooran,GHS Garton,T20I,12,27,0,1,3,3,225.0,27.0
N Pooran,Gulsan Jha,ODI,13,23,0,3,1,5,176.92,23.0
N Pooran,HH Pandya,IPL,15,28,1,1,2,2,186.67,28.0
N Pooran,HH Pandya,ODI,16,11,0,1,0,7,68.75,11.0
N Pooran,HH Pandya,T20I,47,56,1,2,4,18,119.15,56.0
N Pooran,HV Patel,IPL,25,49,0,5,3,6,196.0,49.0
N Pooran,HV Patel,T20I,31,45,1,5,2,13,145.16,45.0
N Pooran,Haris Rauf,ODI,14,13,1,1,1,9,92.86,13.0
N Pooran,Harshit Rana,IPL,20,36,0,3,3,8,180.0,36.0
N Pooran,Hasan Ali,T20I,19,32,1,2,3,8,168.42,32.0
N Pooran,I Udana,ODI,27,39,2,4,1,7,144.44,19.5
N Pooran,JC Archer,IPL,24,30,1,3,2,14,125.0,30.0
N Pooran,JC Archer,T20I,17,15,2,2,1,13,88.24,7.5
N Pooran,JDF Vandersay,ODI,25,25,0,3,0,11,100.0,25.0
N Pooran,JE Root,ODI,16,9,0,0,0,8,56.25,9.0
N Pooran,JJ Bumrah,IPL,25,19,3,2,0,13,76.0,6.33
N Pooran,JL Denly,T20I,14,22,0,0,2,2,157.14,22.0
N Pooran,JO Holder,IPL,17,32,0,4,1,2,188.24,32.0
N Pooran,JP Behrendorff,T20I,12,20,1,0,3,7,166.67,20.0
N Pooran,JR Hazlewood,T20I,11,11,1,0,1,6,100.0,11.0
N Pooran,K Rabada,IPL,31,34,4,3,1,13,109.68,8.5
N Pooran,K Rabada,T20I,17,23,1,4,0,6,135.29,23.0
N Pooran,KH Pandya,IPL,17,26,0,1,2,5,152.94,26.0
N Pooran,KH Pandya,T20I,12,12,1,0,1,5,100.0,12.0
N Pooran,KK Ahmed,IPL,40,71,2,9,3,16,177.5,35.5
N Pooran,KK Ahmed,T20I,14,20,0,2,1,5,142.86,20.0
N Pooran,KM Jadhav,ODI,24,18,0,3,0,15,75.0,18.0
N Pooran,KT Maphaka,T20I,10,17,0,1,1,2,170.0,17.0
N Pooran,Karan KC,ODI,10,13,0,1,1,5,130.0,13.0
N Pooran,Kartik Tyagi,IPL,12,11,2,0,1,7,91.67,5.5
N Pooran,Kuldeep Yadav,IPL,36,50,1,5,2,14,138.89,50.0
N Pooran,Kuldeep Yadav,ODI,72,73,2,3,4,30,101.39,36.5
N Pooran,Kuldeep Yadav,T20I,42,39,4,3,1,20,92.86,9.75
N Pooran,L Ngidi,T20I,15,28,1,1,3,5,186.67,28.0
N Pooran,LE Plunkett,ODI,10,10,0,1,0,4,100.0,10.0
N Pooran,LE Plunkett,T20I,13,20,0,1,1,4,153.85,20.0
N Pooran,LH Ferguson,IPL,11,15,0,1,1,4,136.36,15.0
N Pooran,LH Ferguson,ODI,31,43,0,0,5,14,138.71,43.0
N Pooran,LS Livingstone,IPL,11,22,0,3,1,3,200.0,22.0
N Pooran,LS Livingstone,T20I,27,38,2,1,3,8,140.74,19.0
N Pooran,LV van Beek,ODI,21,30,0,4,1,11,142.86,30.0
N Pooran,M Jansen,IPL,10,6,2,0,0,5,60.0,3.0
N Pooran,M Pathirana,IPL,18,21,2,1,1,5,116.67,10.5
N Pooran,M Prasidh Krishna,IPL,30,11,1,0,0,19,36.67,11.0
N Pooran,M Prasidh Krishna,ODI,36,31,2,2,2,24,86.11,15.5
N Pooran,M Theekshana,IPL,16,18,0,0,1,4,112.5,18.0
N Pooran,M Theekshana,T20I,12,17,0,2,0,4,141.67,17.0
N Pooran,MA Starc,ODI,21,19,1,2,0,11,90.48,19.0
N Pooran,MA Wood,ODI,11,3,0,0,0,8,27.27,3.0
N Pooran,MA Wood,T20I,10,9,1,0,1,6,90.0,9.0
N Pooran,MD Gunathilaka,T20I,14,8,0,0,0,6,57.14,8.0
N Pooran,MG Bracewell,ODI,19,27,0,2,2,9,142.11,27.0
N Pooran,MJ Santner,ODI,20,16,0,1,0,9,80.0,16.0
N Pooran,MM Ali,IPL,18,23,0,0,2,5,127.78,23.0
N Pooran,MM Ali,T20I,34,44,1,3,2,12,129.41,44.0
N Pooran,MP Stoinis,IPL,12,24,0,2,2,4,200.0,24.0
N Pooran,MR Adair,ODI,21,9,0,1,0,15,42.86,9.0
N Pooran,MR Marsh,T20I,19,32,1,3,2,7,168.42,32.0
N Pooran,Mahedi Hasan,T20I,33,33,3,3,2,20,100.0,11.0
N Pooran,Mahmudullah,T20I,13,14,0,0,1,5,107.69,14.0
N Pooran,Mehedi Hasan Miraz,ODI,47,53,1,4,3,26,112.77,53.0
N Pooran,Mohammad Hafeez,T20I,12,13,1,0,2,9,108.33,13.0
N Pooran,Mohammad Nawaz,ODI,26,20,2,0,2,17,76.92,10.0
N Pooran,Mohammad Nawaz,T20I,14,25,1,1,2,4,178.57,25.0
N Pooran,Mohammad Wasim,T20I,20,46,2,2,5,6,230.0,23.0
N Pooran,Mohammed Shami,IPL,10,15,1,2,0,1,150.0,15.0
N Pooran,Mohammed Shami,ODI,28,36,2,4,1,9,128.57,18.0
N Pooran,Mohammed Siraj,IPL,26,51,1,5,4,10,196.15,51.0
N Pooran,Mohammed Siraj,ODI,21,10,1,0,0,13,47.62,10.0
N Pooran,Mosaddek Hossain,ODI,46,21,0,2,0,34,45.65,21.0
N Pooran,Mosaddek Hossain,T20I,15,12,1,1,0,6,80.0,12.0
N Pooran,Mukesh Kumar,IPL,14,22,1,2,1,4,157.14,22.0
N Pooran,Mukesh Kumar,T20I,12,19,1,2,1,4,158.33,19.0
N Pooran,Mustafizur Rahman,IPL,15,30,0,4,1,4,200.0,30.0
N Pooran,Mustafizur Rahman,T20I,23,43,1,5,1,4,186.96,43.0
N Pooran,N Pradeep,ODI,12,21,0,4,0,4,175.0,21.0
N Pooran,N Thushara,IPL,10,13,1,2,0,4,130.0,13.0
N Pooran,NA Saini,ODI,14,20,0,3,0,4,142.86,20.0
N Pooran,NA Saini,T20I,16,14,2,1,1,10,87.5,7.0
