striker,bowler,format,balls_faced,runs,dismissals,fours,sixes,dot_balls,strike_rate,average
A Capsey,FC Jonas,T20I,39,46,1,6,0,16,117.95,46.0
A Capsey,Fahima Khatun,ODI,10,6,0,1,0,7,60.0,6.0
A Capsey,Fatima Sana,ODI,11,16,0,2,0,3,145.45,16.0
A Capsey,Fatima Sana,T20I,11,9,0,1,0,6,81.82,9.0
A Capsey,HM Rowe,T20I,14,9,1,1,0,9,64.29,9.0
A Capsey,HRA Rainey,T20I,11,14,1,2,0,5,127.27,14.0
A Capsey,I Ranaweera,T20I,19,32,1,1,3,5,168.42,32.0
A Capsey,J Goswami,ODI,20,14,1,3,0,15,70.0,14.0
A Capsey,JM Kerr,T20I,31,49,0,2,4,10,158.06,49.0
A Capsey,K Goud,T20I,12,25,1,3,1,2,208.33,25.0
A Capsey,K Goud,Test,15,10,1,2,0,11,66.67,10.0
A Capsey,K Ramharack,ODI,12,22,0,3,0,3,183.33,22.0
A Capsey,KJ Garth,ODI,14,3,2,0,0,11,21.43,1.5
A Capsey,LM Kasperek,T20I,15,15,1,0,1,5,100.0,15.0
A Capsey,LMM Tahuhu,ODI,11,3,0,0,0,9,27.27,3.0
A Capsey,LMM Tahuhu,T20I,23,39,0,9,0,11,169.57,39.0
A Capsey,ML Schutt,ODI,16,17,1,1,1,7,106.25,17.0
A Capsey,MM Penfold,ODI,10,15,0,2,0,4,150.0,15.0
A Capsey,N Mlaba,ODI,21,11,1,1,0,13,52.38,11.0
A Capsey,N Mlaba,T20I,15,7,2,0,0,9,46.67,3.5
A Capsey,N Shree Charani,T20I,22,37,3,3,2,5,168.18,12.33
A Capsey,NSS Sharma,T20I,11,18,0,3,0,2,163.64,18.0
A Capsey,Nashra Sandhu,ODI,50,25,1,2,0,33,50.0,25.0
A Capsey,Nida Dar,ODI,25,19,0,2,0,14,76.0,19.0
A Capsey,OU Ranasinghe,T20I,10,12,0,1,0,2,120.0,12.0
A Capsey,P Vastrakar,ODI,12,16,0,2,0,4,133.33,16.0
A Capsey,P Vastrakar,T20I,20,20,0,3,0,11,100.0,20.0
A Capsey,RA Mair,ODI,13,10,1,1,0,7,76.92,10.0
A Capsey,RA Mair,T20I,20,25,0,4,0,8,125.0,25.0
A Capsey,RP Yadav,T20I,10,6,0,0,0,4,60.0,6.0
A Capsey,RS Gayakwad,ODI,16,7,0,0,0,9,43.75,7.0
A Capsey,Renuka Singh,T20I,37,34,3,4,0,19,91.89,11.33
A Capsey,S Luus,ODI,15,15,1,1,0,4,100.0,15.0
A Capsey,S Molineux,ODI,11,11,1,1,0,4,100.0,11.0
A Capsey,S Rana,T20I,22,32,1,3,1,6,145.45,32.0
A Capsey,S Rana,Test,17,10,0,1,0,13,58.82,10.0
A Capsey,SFM Devine,T20I,29,32,0,5,0,14,110.34,32.0
A Capsey,SG Satghare,Test,13,9,1,1,0,9,69.23,9.0
A Capsey,SIP Fernando,T20I,11,9,0,2,0,8,81.82,9.0
A Capsey,Sadia Iqbal,ODI,13,6,0,1,0,10,46.15,6.0
A Capsey,Sadia Iqbal,T20I,15,3,1,0,0,12,20.0,3.0
A Capsey,Shorna Akter,ODI,10,6,0,1,0,7,60.0,6.0
A Capsey,Umm-e-Hani,ODI,12,6,0,0,0,7,50.0,6.0
A Capsey,WK Dilhari,T20I,18,17,0,2,0,7,94.44,17.0
A Capsey,Waheeda Akhtar,T20I,14,25,1,6,0,7,178.57,25.0
A Chandel,AF Aoina,T20I,13,15,0,2,0,5,115.38,15.0
A Chandel,AK Gonerara,T20I,10,14,0,1,0,0,140.0,14.0
A Chandel,Chan Ka Man,T20I,16,13,0,0,0,7,81.25,13.0
A Chandel,Iqra Sahar,T20I,22,11,1,1,0,15,50.0,11.0
A Chandel,M Bibi,T20I,22,15,1,2,0,13,68.18,15.0
A Chandel,M Hill,T20I,23,12,3,0,0,14,52.17,4.0
A Chandel,MT Waqanisau,T20I,16,13,0,2,0,9,81.25,13.0
A Chandel,N Navaika,T20I,15,10,1,1,0,8,66.67,10.0
A Chandel,NW Sariani,T20I,11,3,1,0,0,8,27.27,3.0
A Chandel,Nur Dania Syuhada,T20I,11,4,0,0,0,8,36.36,4.0
A Chandel,R Muriyalo,T20I,10,4,0,0,0,6,40.0,4.0
A Chandel,R Ova,T20I,11,3,0,0,0,7,27.27,3.0
A Chandel,S Sigaiwasa,T20I,20,14,1,0,0,7,70.0,14.0
A Chandel,S Solman,T20I,10,5,0,0,0,5,50.0,5.0
A Chandel,V Mansale,T20I,18,12,2,0,0,12,66.67,6.0
A Chandel,WK Lai,T20I,17,14,0,0,0,5,82.35,14.0
A Chaubey,C Rumistrzewicz,T20I,10,6,2,0,1,9,60.0,3.0
A Chilia,A Mazvishaya,T20I,12,8,0,1,0,8,66.67,8.0
A Chilia,AF Aoina,T20I,11,2,1,0,0,8,18.18,2.0
A Chilia,I Toua,T20I,16,5,1,0,0,12,31.25,5.0
A Chilia,LS Mulivai,T20I,10,7,0,1,0,6,70.0,7.0
A Chilia,M Tom,T20I,10,12,0,2,0,5,120.0,12.0
A Chilia,TH Semau,T20I,11,9,1,1,0,6,81.82,9.0
A Chopra,AJ Bichel,Test,25,10,0,1,0,20,40.0,10.0
A Chopra,B Lee,Test,59,22,1,4,0,46,37.29,22.0
A Chopra,BL Morgan,Test,22,13,0,3,0,18,59.09,13.0
A Chopra,CD McMillan,Test,11,7,0,1,0,8,63.64,7.0
A Chopra,DL Vettori,Test,115,19,0,3,0,107,16.52,19.0
A Chopra,DR Tuffey,Test,79,37,1,6,0,65,46.84,37.0
A Chopra,IG Butler,Test,55,27,0,2,0,43,49.09,27.0
A Chopra,JN Gillespie,Test,92,18,2,1,0,79,19.57,9.0
A Chopra,LA Marsh,Test,18,2,1,0,0,16,11.11,2.0
A Chopra,LK Newton,Test,17,7,0,1,0,14,41.18,7.0
A Chopra,NW Bracken,Test,68,17,1,0,0,56,25.0,17.0
A Chopra,PJ Wiseman,Test,32,19,1,3,0,23,59.38,19.0
A Chopra,SB Styris,Test,16,3,0,0,0,14,18.75,3.0
A Chopra,SCG MacGill,Test,36,16,0,2,0,30,44.44,16.0
A Chopra,SR Waugh,Test,15,4,0,0,0,12,26.67,4.0
A Codrington,Alok Kapali,ODI,18,5,0,0,0,13,27.78,5.0
