striker,matches,runs,balls_faced,dismissals,dot_balls,fours,sixes,average,strike_rate,dot_pct,boundary_pct
SM Nash,15.0,93.0,144.0,12.0,83.0,8.0,1.0,7.75,64.58,57.64,6.25
N Pokana,20.0,93.0,168.0,10.0,105.0,3.0,3.0,9.3,55.36,62.5,3.57
Javed Maroofkhail,8.0,93.0,100.0,4.0,43.0,3.0,3.0,23.25,93.0,43.0,6.0
VR Aaron,22.0,93.0,197.0,14.0,142.0,7.0,2.0,6.64,47.21,72.08,4.57
CL Hooper,5.0,93.0,118.0,4.0,46.0,3.0,1.0,23.25,78.81,38.98,3.39
MA Nyabela,19.0,92.0,185.0,16.0,117.0,3.0,0.0,5.75,49.73,63.24,1.62
Ragne Hallik,11.0,92.0,192.0,8.0,115.0,4.0,0.0,11.5,47.92,59.9,2.08
Zubair Al Balushi,5.0,92.0,56.0,5.0,24.0,11.0,5.0,18.4,164.29,42.86,28.57
Mohammad Irfan,48.0,92.0,271.0,24.0,223.0,11.0,2.0,3.83,33.95,82.29,4.8
Himmat Singh,5.0,92.0,69.0,3.0,21.0,5.0,5.0,30.67,133.33,30.43,14.49
NJ Maddinson,10.0,92.0,134.0,11.0,92.0,13.0,1.0,8.36,68.66,68.66,10.45
DJ Jacobs,7.0,92.0,98.0,7.0,59.0,10.0,4.0,13.14,93.88,60.2,14.29
K Meso,16.0,92.0,166.0,9.0,97.0,4.0,0.0,10.22,55.42,58.43,2.41
MV Pavlovic,14.0,92.0,143.0,14.0,84.0,9.0,0.0,6.57,64.34,58.74,6.29
HL Colvin,9.0,92.0,273.0,4.0,221.0,10.0,0.0,23.0,33.7,80.95,3.66
Tafseer Ali,12.0,92.0,132.0,8.0,72.0,8.0,0.0,11.5,69.7,54.55,6.06
Shafat Ali Syed,7.0,92.0,56.0,6.0,23.0,6.0,8.0,15.33,164.29,41.07,25.0
Awais Zia,7.0,92.0,110.0,7.0,61.0,6.0,3.0,13.14,83.64,55.45,8.18
TM Macalou,15.0,92.0,205.0,12.0,147.0,8.0,0.0,7.67,44.88,71.71,3.9
M Martinez,14.0,92.0,135.0,12.0,83.0,10.0,0.0,7.67,68.15,61.48,7.41
NMP Suwandewi,13.0,92.0,138.0,10.0,71.0,4.0,0.0,9.2,66.67,51.45,2.9
DJ Turkich,9.0,91.0,113.0,9.0,57.0,9.0,1.0,10.11,80.53,50.44,8.85
Aditya Panwar,4.0,91.0,73.0,4.0,26.0,3.0,4.0,22.75,124.66,35.62,9.59
JV Harris,6.0,91.0,204.0,6.0,152.0,9.0,1.0,15.17,44.61,74.51,4.9
GH Bodi,3.0,91.0,157.0,4.0,108.0,9.0,1.0,22.75,57.96,68.79,6.37
GG Banner,11.0,91.0,98.0,10.0,61.0,8.0,4.0,9.1,92.86,62.24,12.24
SR Mohan,12.0,91.0,147.0,8.0,83.0,5.0,1.0,11.38,61.9,56.46,4.08
B Yadav,11.0,91.0,81.0,9.0,42.0,2.0,8.0,10.11,112.35,51.85,12.35
Ezgi Nur Kilic,10.0,91.0,133.0,10.0,79.0,11.0,0.0,9.1,68.42,59.4,8.27
Bosco Tuyizere,9.0,91.0,116.0,9.0,57.0,6.0,1.0,10.11,78.45,49.14,6.03
A Sootaga,11.0,91.0,106.0,6.0,57.0,9.0,1.0,15.17,85.85,53.77,9.43
Mohammed Sameer,5.0,91.0,68.0,5.0,32.0,9.0,5.0,18.2,133.82,47.06,20.59
PR Shah,9.0,91.0,90.0,8.0,44.0,9.0,2.0,11.38,101.11,48.89,12.22
ML Kostic,9.0,91.0,77.0,7.0,37.0,11.0,3.0,13.0,118.18,48.05,18.18
Parveen Kumar,12.0,90.0,117.0,10.0,64.0,5.0,3.0,9.0,76.92,54.7,6.84
K Thomson,4.0,90.0,120.0,4.0,58.0,6.0,0.0,22.5,75.0,48.33,5.0
S Sheridan,7.0,90.0,87.0,7.0,37.0,8.0,0.0,12.86,103.45,42.53,9.2
GB Murgatroyd,6.0,90.0,145.0,6.0,82.0,7.0,1.0,15.0,62.07,56.55,5.52
Subham Patel,5.0,90.0,80.0,4.0,44.0,9.0,4.0,22.5,112.5,55.0,16.25
PR Veer,5.0,90.0,67.0,2.0,25.0,10.0,3.0,45.0,134.33,37.31,19.4
N Benjamin,15.0,90.0,110.0,9.0,52.0,7.0,0.0,10.0,81.82,47.27,6.36
A Mohamed,11.0,90.0,111.0,9.0,52.0,8.0,0.0,10.0,81.08,46.85,7.21
NL Smith,6.0,90.0,111.0,5.0,64.0,4.0,4.0,18.0,81.08,57.66,7.21
J Nyumbu,18.0,90.0,227.0,14.0,172.0,4.0,3.0,6.43,39.65,75.77,3.08
A Tector,10.0,90.0,119.0,9.0,57.0,6.0,0.0,10.0,75.63,47.9,5.04
F Khaliq,8.0,90.0,73.0,5.0,25.0,9.0,1.0,18.0,123.29,34.25,13.7
G Schachat,2.0,90.0,74.0,1.0,22.0,8.0,2.0,90.0,121.62,29.73,13.51
S Mukuddem,4.0,90.0,148.0,3.0,86.0,6.0,0.0,30.0,60.81,58.11,4.05
Muhammad Shoaib Ahmed,5.0,90.0,84.0,5.0,41.0,10.0,2.0,18.0,107.14,48.81,14.29
Junaid Siddiqui,12.0,89.0,171.0,9.0,102.0,1.0,2.0,9.89,52.05,59.65,1.75
AE Smith,2.0,89.0,77.0,2.0,30.0,6.0,2.0,44.5,115.58,38.96,10.39
C Abel,17.0,89.0,159.0,11.0,91.0,2.0,1.0,8.09,55.97,57.23,1.89
M Jenkinson,5.0,89.0,79.0,5.0,38.0,5.0,5.0,17.8,112.66,48.1,12.66
Amir Ali,6.0,89.0,59.0,4.0,20.0,10.0,2.0,22.25,150.85,33.9,20.34
I Suhun,20.0,89.0,162.0,16.0,95.0,7.0,0.0,5.56,54.94,58.64,4.32
TC Bastiampillai,5.0,89.0,160.0,5.0,115.0,11.0,2.0,17.8,55.62,71.88,8.12
SSD Arachchige,3.0,89.0,134.0,3.0,75.0,6.0,0.0,29.67,66.42,55.97,4.48
S Thakur,4.0,89.0,70.0,2.0,24.0,12.0,1.0,44.5,127.14,34.29,18.57
TL Chivanga,10.0,89.0,238.0,11.0,199.0,10.0,3.0,8.09,37.39,83.61,5.46
C Chatonzwa,16.0,89.0,208.0,12.0,142.0,5.0,0.0,7.42,42.79,68.27,2.4
Bilal Ahmad Mir,8.0,89.0,79.0,7.0,36.0,8.0,4.0,12.71,112.66,45.57,15.19
E Packard,7.0,89.0,88.0,7.0,39.0,5.0,4.0,12.71,101.14,44.32,10.23
Flynn Zahra,10.0,89.0,80.0,6.0,32.0,1.0,6.0,14.83,111.25,40.0,8.75
Ziaur Rehman,6.0,88.0,90.0,5.0,44.0,8.0,1.0,17.6,97.78,48.89,10.0
CK Langeveldt,24.0,88.0,149.0,13.0,97.0,9.0,1.0,6.77,59.06,65.1,6.71
Iqbal Abdulla,13.0,88.0,84.0,1.0,33.0,9.0,1.0,88.0,104.76,39.29,11.9
DR Mousley,5.0,88.0,104.0,4.0,51.0,5.0,3.0,22.0,84.62,49.04,7.69
Keziah Miriam Sabin,9.0,88.0,75.0,4.0,28.0,10.0,1.0,22.0,117.33,37.33,14.67
D Nanda,6.0,88.0,75.0,4.0,34.0,9.0,2.0,22.0,117.33,45.33,14.67
CB Sole,20.0,88.0,108.0,11.0,58.0,10.0,0.0,8.0,81.48,53.7,9.26
TK Patel,9.0,88.0,166.0,4.0,106.0,8.0,0.0,22.0,53.01,63.86,4.82
C Jonker,4.0,88.0,62.0,4.0,31.0,10.0,4.0,22.0,141.94,50.0,22.58
WP Myburgh,7.0,88.0,185.0,7.0,118.0,2.0,0.0,12.57,47.57,63.78,1.08
I Elec,11.0,88.0,136.0,12.0,89.0,5.0,4.0,7.33,64.71,65.44,6.62
Sultana Khatun,22.0,88.0,162.0,14.0,107.0,8.0,0.0,6.29,54.32,66.05,4.94
Md Shafiqul Haque,4.0,88.0,62.0,3.0,26.0,5.0,6.0,29.33,141.94,41.94,17.74
KM Awala,11.0,88.0,105.0,10.0,50.0,5.0,1.0,8.8,83.81,47.62,5.71
K Jaikaran,13.0,88.0,134.0,11.0,78.0,9.0,0.0,8.0,65.67,58.21,6.72
O Casasola,10.0,88.0,149.0,10.0,96.0,6.0,0.0,8.8,59.06,64.43,4.03
Zishan Shah,5.0,88.0,87.0,4.0,36.0,7.0,1.0,22.0,101.15,41.38,9.2
AP Majumdar,4.0,87.0,76.0,4.0,27.0,7.0,2.0,21.75,114.47,35.53,11.84
T Mupariwa,21.0,87.0,200.0,16.0,150.0,7.0,2.0,5.44,43.5,75.0,4.5
Hassnain Shah,10.0,87.0,77.0,8.0,39.0,2.0,8.0,10.88,112.99,50.65,12.99
Ahmadullah Shinwari,14.0,87.0,96.0,9.0,46.0,8.0,1.0,9.67,90.62,47.92,9.38
Ankit Sharma,10.0,87.0,67.0,7.0,27.0,7.0,4.0,12.43,129.85,40.3,16.42
Nadeem Ahmed,19.0,87.0,179.0,13.0,124.0,7.0,0.0,6.69,48.6,69.27,3.91
N Niranjana,12.0,87.0,173.0,11.0,126.0,11.0,0.0,7.91,50.29,72.83,6.36
C Viljoen,8.0,87.0,93.0,5.0,43.0,9.0,1.0,17.4,93.55,46.24,10.75
Ayyaz Qureshi,6.0,87.0,131.0,5.0,70.0,7.0,0.0,17.4,66.41,53.44,5.34
JNT Vare,10.0,87.0,127.0,10.0,66.0,4.0,0.0,8.7,68.5,51.97,3.15
Ramanjot Singh,4.0,87.0,94.0,4.0,45.0,8.0,2.0,21.75,92.55,47.87,10.64
J Daley,4.0,87.0,74.0,3.0,33.0,9.0,1.0,29.0,117.57,44.59,13.51
V Frank,8.0,87.0,97.0,5.0,45.0,9.0,0.0,17.4,89.69,46.39,9.28
Mohammad Farooq,4.0,87.0,69.0,4.0,39.0,7.0,7.0,21.75,126.09,56.52,20.29
Amir Farooq,12.0,87.0,91.0,8.0,41.0,5.0,4.0,10.88,95.6,45.05,9.89
J Essex,6.0,87.0,119.0,6.0,71.0,9.0,1.0,14.5,73.11,59.66,8.4
Alina Aslam,13.0,87.0,154.0,10.0,81.0,1.0,0.0,8.7,56.49,52.6,0.65
Khurram Chohan,11.0,87.0,147.0,9.0,91.0,6.0,2.0,9.67,59.18,61.9,5.44
ET Smith,3.0,87.0,172.0,5.0,136.0,15.0,0.0,17.4,50.58,79.07,8.72
NM Anil,7.0,87.0,88.0,6.0,42.0,12.0,0.0,14.5,98.86,47.73,13.64
MJ Humphreys,15.0,87.0,181.0,12.0,141.0,11.0,2.0,7.25,48.07,77.9,7.18
J Andrew,7.0,86.0,92.0,7.0,53.0,5.0,5.0,12.29,93.48,57.61,10.87
Nadeem Khan,10.0,86.0,78.0,8.0,41.0,7.0,5.0,10.75,110.26,52.56,15.38
E Schiferli,10.0,86.0,142.0,8.0,104.0,12.0,0.0,10.75,60.56,73.24,8.45
AS van Beuge,12.0,86.0,219.0,10.0,150.0,3.0,0.0,8.6,39.27,68.49,1.37
CM Akachukwu,13.0,86.0,92.0,11.0,45.0,5.0,1.0,7.82,93.48,48.91,6.52
RM Siri,4.0,86.0,93.0,4.0,39.0,7.0,1.0,21.5,92.47,41.94,8.6
AR Gandhi,3.0,86.0,98.0,2.0,40.0,5.0,1.0,43.0,87.76,40.82,6.12
A Akhigbe,13.0,86.0,135.0,12.0,90.0,11.0,1.0,7.17,63.7,66.67,8.89
Irdina Beh Nabil,15.0,86.0,137.0,10.0,82.0,7.0,0.0,8.6,62.77,59.85,5.11
Mudassar Muhammad,3.0,86.0,88.0,3.0,39.0,3.0,4.0,28.67,97.73,44.32,7.95
G Chilia,12.0,86.0,144.0,10.0,83.0,5.0,1.0,8.6,59.72,57.64,4.17
Avi Dixit,10.0,86.0,92.0,9.0,35.0,6.0,1.0,9.56,93.48,38.04,7.61
Ibrahim Nashath,13.0,86.0,148.0,13.0,89.0,3.0,2.0,6.62,58.11,60.14,3.38
M Whelan,10.0,86.0,83.0,8.0,36.0,6.0,2.0,10.75,103.61,43.37,9.64
LG Moras,9.0,85.0,103.0,8.0,60.0,5.0,4.0,10.62,82.52,58.25,8.74
G Chaturvedi,8.0,85.0,84.0,7.0,47.0,10.0,2.0,12.14,101.19,55.95,14.29
M Wai Siu,25.0,85.0,177.0,11.0,108.0,2.0,0.0,7.73,48.02,61.02,1.13
JN du Plooy,4.0,85.0,61.0,4.0,17.0,3.0,5.0,21.25,139.34,27.87,13.11
D Maisuria,14.0,85.0,120.0,10.0,63.0,1.0,3.0,8.5,70.83,52.5,3.33
Rafatullah Mohmand,6.0,85.0,82.0,6.0,43.0,6.0,4.0,14.17,103.66,52.44,12.2
DGAPD Wiswi,10.0,85.0,97.0,7.0,44.0,7.0,1.0,12.14,87.63,45.36,8.25
KR Jha,10.0,85.0,118.0,9.0,64.0,3.0,2.0,9.44,72.03,54.24,4.24
SF Jerome,16.0,85.0,114.0,10.0,58.0,7.0,0.0,8.5,74.56,50.88,6.14
Sirajullah Khadim,13.0,85.0,93.0,8.0,42.0,8.0,1.0,10.62,91.4,45.16,9.68
AR Leo,11.0,85.0,133.0,9.0,78.0,5.0,1.0,9.44,63.91,58.65,4.51
WK Lai,25.0,85.0,147.0,23.0,84.0,3.0,0.0,3.7,57.82,57.14,2.04
T Khabo,17.0,85.0,250.0,13.0,183.0,2.0,0.0,6.54,34.0,73.2,0.8
H Kala,1.0,84.0,203.0,3.0,153.0,10.0,0.0,28.0,41.38,75.37,4.93
V Araa,11.0,84.0,196.0,9.0,136.0,4.0,0.0,9.33,42.86,69.39,2.04
A Beresford-Peirse,7.0,84.0,122.0,7.0,68.0,3.0,2.0,12.0,68.85,55.74,4.1
Utkarsh Srivastava,3.0,84.0,81.0,3.0,27.0,7.0,1.0,28.0,103.7,33.33,9.88
HIS Mendis,8.0,84.0,136.0,7.0,76.0,6.0,0.0,12.0,61.76,55.88,4.41
CT McNally,7.0,84.0,133.0,6.0,70.0,8.0,0.0,14.0,63.16,52.63,6.02
Habeeba Bader,12.0,84.0,142.0,7.0,86.0,6.0,0.0,12.0,59.15,60.56,4.23
M Sankoh,9.0,84.0,175.0,7.0,123.0,5.0,0.0,12.0,48.0,70.29,2.86
Shenjian Zheng,6.0,84.0,60.0,5.0,33.0,5.0,8.0,16.8,140.0,55.0,21.67
M Lollo,12.0,84.0,122.0,9.0,61.0,2.0,0.0,9.33,68.85,50.0,1.64
L Emilio,10.0,84.0,85.0,7.0,47.0,10.0,1.0,12.0,98.82,55.29,12.94
D Bhatta,10.0,84.0,76.0,10.0,33.0,6.0,3.0,8.4,110.53,43.42,11.84
Sonam,20.0,84.0,184.0,16.0,125.0,7.0,0.0,5.25,45.65,67.93,3.8
Riyaa Bhasin,18.0,84.0,172.0,14.0,107.0,1.0,0.0,6.0,48.84,62.21,0.58
PI Walter,5.0,84.0,62.0,3.0,19.0,11.0,1.0,28.0,135.48,30.65,19.35
Mahbubul Alam,4.0,84.0,124.0,4.0,82.0,3.0,4.0,21.0,67.74,66.13,5.65
Puneet Arora,6.0,84.0,96.0,4.0,52.0,8.0,2.0,21.0,87.5,54.17,10.42
Muhammad Musa,9.0,84.0,71.0,3.0,39.0,11.0,3.0,28.0,118.31,54.93,19.72
MK Villiers,9.0,84.0,62.0,4.0,18.0,11.0,0.0,21.0,135.48,29.03,17.74
JJ Krejza,4.0,84.0,169.0,4.0,127.0,8.0,0.0,21.0,49.7,75.15,4.73
Shahid Nazir,5.0,84.0,175.0,6.0,137.0,9.0,1.0,14.0,48.0,78.29,5.71
HJ Armitage,6.0,83.0,102.0,6.0,59.0,10.0,0.0,13.83,81.37,57.84,9.8
CJ Nevin,7.0,83.0,141.0,7.0,99.0,10.0,0.0,11.86,58.87,70.21,7.09
J Smits,9.0,83.0,212.0,5.0,151.0,4.0,0.0,16.6,39.15,71.23,1.89
T Rajiv,5.0,83.0,68.0,5.0,30.0,11.0,2.0,16.6,122.06,44.12,19.12
K Carney,10.0,83.0,90.0,6.0,39.0,9.0,0.0,13.83,92.22,43.33,10.0
Kaif Jamadar,6.0,83.0,80.0,6.0,42.0,9.0,2.0,13.83,103.75,52.5,13.75
PR Adams,4.0,83.0,169.0,4.0,124.0,10.0,0.0,20.75,49.11,73.37,5.92
MPM Pathirannehelage,8.0,83.0,93.0,4.0,51.0,10.0,0.0,20.75,89.25,54.84,10.75
IG Butler,13.0,83.0,135.0,9.0,89.0,6.0,2.0,9.22,61.48,65.93,5.93
Umm-e-Hani,17.0,83.0,152.0,16.0,87.0,3.0,0.0,5.19,54.61,57.24,1.97
Ahmed Daniyal,8.0,83.0,65.0,5.0,28.0,9.0,3.0,16.6,127.69,43.08,18.46
D Long Martinez,2.0,83.0,56.0,2.0,21.0,8.0,4.0,41.5,148.21,37.5,21.43
DR Hooper,9.0,82.0,103.0,5.0,42.0,2.0,1.0,16.4,79.61,40.78,2.91
Shahnawaz Patel,8.0,82.0,81.0,6.0,33.0,7.0,1.0,13.67,101.23,40.74,9.88
Jun Hyunwoo,12.0,82.0,129.0,12.0,87.0,4.0,5.0,6.83,63.57,67.44,6.98
E Cleator,7.0,82.0,105.0,6.0,48.0,5.0,0.0,13.67,78.1,45.71,4.76
Raihan Stanikzai,4.0,82.0,51.0,4.0,22.0,10.0,4.0,20.5,160.78,43.14,27.45
M Gouws,7.0,82.0,58.0,7.0,23.0,5.0,5.0,11.71,141.38,39.66,17.24
Rizwan Hussain,8.0,82.0,77.0,7.0,32.0,9.0,1.0,11.71,106.49,41.56,12.99
Muhammad Amin,9.0,82.0,84.0,8.0,50.0,10.0,3.0,10.25,97.62,59.52,15.48
Ranjit Singh,5.0,82.0,56.0,5.0,20.0,8.0,3.0,16.4,146.43,35.71,19.64
DB Kotze,6.0,82.0,135.0,5.0,83.0,3.0,1.0,16.4,60.74,61.48,2.96
W Nalisa,15.0,82.0,78.0,9.0,28.0,7.0,1.0,9.11,105.13,35.9,10.26
Nyeing Cham Soe,16.0,82.0,106.0,9.0,53.0,5.0,2.0,9.11,77.36,50.0,6.6
Rabiya Shah,8.0,82.0,126.0,6.0,80.0,10.0,0.0,13.67,65.08,63.49,7.94
Geovanis Uwase,16.0,82.0,89.0,12.0,43.0,5.0,1.0,6.83,92.13,48.31,6.74
C Hemraj,6.0,82.0,98.0,6.0,67.0,13.0,2.0,13.67,83.67,68.37,15.31
RL Vitas,6.0,82.0,109.0,2.0,56.0,7.0,2.0,41.0,75.23,51.38,8.26
PN Sproul,8.0,82.0,110.0,7.0,64.0,9.0,0.0,11.71,74.55,58.18,8.18
Bella Poon,12.0,82.0,130.0,10.0,86.0,9.0,0.0,8.2,63.08,66.15,6.92
Arafat Sunny,16.0,82.0,121.0,7.0,73.0,8.0,1.0,11.71,67.77,60.33,7.44
Shahbaz Badar,10.0,81.0,89.0,9.0,39.0,6.0,1.0,9.0,91.01,43.82,7.87
LA Carseldine,5.0,81.0,68.0,3.0,27.0,11.0,0.0,27.0,119.12,39.71,16.18
LK Bell,21.0,81.0,194.0,10.0,153.0,10.0,1.0,8.1,41.75,78.87,5.67
V Redkar,4.0,81.0,114.0,4.0,62.0,8.0,0.0,20.25,71.05,54.39,7.02
Sagar Pun,8.0,81.0,107.0,6.0,62.0,11.0,0.0,13.5,75.7,57.94,10.28
Mohammad Faiq,5.0,81.0,63.0,4.0,20.0,9.0,1.0,20.25,128.57,31.75,15.87
Edward Fleming,6.0,81.0,82.0,4.0,38.0,8.0,1.0,20.25,98.78,46.34,10.98
BM Tickner,16.0,81.0,156.0,7.0,106.0,7.0,0.0,11.57,51.92,67.95,4.49
LK Ebsary,5.0,81.0,89.0,3.0,44.0,7.0,1.0,27.0,91.01,49.44,8.99
Yusrina Yaakop,16.0,81.0,153.0,14.0,106.0,6.0,0.0,5.79,52.94,69.28,3.92
Yahya Suhail,8.0,81.0,157.0,10.0,109.0,7.0,1.0,8.1,51.59,69.43,5.1
K Pandya,7.0,81.0,130.0,5.0,63.0,0.0,0.0,16.2,62.31,48.46,0.0
Vamshi Reddy,6.0,81.0,112.0,5.0,67.0,8.0,1.0,16.2,72.32,59.82,8.04
JR Newton,5.0,81.0,93.0,5.0,37.0,5.0,1.0,16.2,87.1,39.78,6.45
Nasir Aziz,2.0,81.0,122.0,2.0,83.0,11.0,0.0,40.5,66.39,68.03,9.02
Zohaib Sarwar,9.0,80.0,72.0,7.0,33.0,2.0,6.0,11.43,111.11,45.83,11.11
Mustafa Omer,6.0,80.0,95.0,7.0,56.0,6.0,3.0,11.43,84.21,58.95,9.47
EC Perry,13.0,80.0,103.0,9.0,52.0,8.0,0.0,8.89,77.67,50.49,7.77
RV Patel,7.0,80.0,73.0,5.0,26.0,6.0,2.0,16.0,109.59,35.62,10.96
L Greig,10.0,80.0,91.0,8.0,37.0,7.0,0.0,10.0,87.91,40.66,7.69
L Pickard,8.0,80.0,136.0,7.0,80.0,4.0,0.0,11.43,58.82,58.82,2.94
Likitha Yadav,7.0,80.0,170.0,7.0,109.0,6.0,0.0,11.43,47.06,64.12,3.53
GR Codrington,6.0,80.0,118.0,5.0,74.0,8.0,2.0,16.0,67.8,62.71,8.47
E Bisht,22.0,80.0,129.0,13.0,74.0,6.0,0.0,6.15,62.02,57.36,4.65
Inam-ul-Haq,3.0,80.0,72.0,2.0,30.0,11.0,0.0,40.0,111.11,41.67,15.28
Al Sahariar,7.0,80.0,159.0,9.0,121.0,8.0,2.0,8.89,50.31,76.1,6.29
HAM Samuddika,13.0,80.0,143.0,8.0,97.0,8.0,0.0,10.0,55.94,67.83,5.59
M Terblanche,4.0,80.0,129.0,3.0,91.0,10.0,0.0,26.67,62.02,70.54,7.75
S Siegers,29.0,80.0,121.0,16.0,62.0,3.0,0.0,5.0,66.12,51.24,2.48
Jaspreet Singh,12.0,80.0,75.0,9.0,31.0,6.0,2.0,8.89,106.67,41.33,10.67
Ansar Iqbal,6.0,80.0,81.0,6.0,42.0,9.0,2.0,13.33,98.77,51.85,13.58
Mir Hamza,18.0,80.0,217.0,9.0,179.0,6.0,3.0,8.89,36.87,82.49,4.15
LL Tsotsobe,25.0,79.0,172.0,12.0,130.0,9.0,1.0,6.58,45.93,75.58,5.81
V Jesrani,10.0,79.0,182.0,11.0,113.0,1.0,0.0,7.18,43.41,62.09,0.55
L Wood,15.0,79.0,63.0,8.0,26.0,4.0,5.0,9.88,125.4,41.27,14.29
Murid Ekrami,12.0,79.0,76.0,7.0,35.0,9.0,1.0,11.29,103.95,46.05,13.16
GJ van Rensburg,6.0,79.0,110.0,5.0,59.0,5.0,1.0,15.8,71.82,53.64,5.45
Aleena Khan,16.0,79.0,155.0,14.0,107.0,8.0,0.0,5.64,50.97,69.03,5.16
Shivam Mavi,13.0,79.0,74.0,11.0,37.0,6.0,4.0,7.18,106.76,50.0,13.51
MP Kuhnemann,12.0,79.0,175.0,12.0,126.0,7.0,0.0,6.58,45.14,72.0,4.0
G Madanayake,8.0,79.0,130.0,6.0,54.0,5.0,0.0,13.17,60.77,41.54,3.85
Christina Baret,13.0,79.0,180.0,12.0,121.0,2.0,0.0,6.58,43.89,67.22,1.11
AB Slebsager,12.0,79.0,88.0,6.0,41.0,8.0,0.0,13.17,89.77,46.59,9.09
SW Tait,20.0,79.0,116.0,10.0,78.0,8.0,3.0,7.9,68.1,67.24,9.48
PS Airee,10.0,79.0,94.0,12.0,53.0,9.0,1.0,6.58,84.04,56.38,10.64
Zahidullah Kamal,6.0,79.0,89.0,6.0,39.0,5.0,1.0,13.17,88.76,43.82,6.74
MA Sherry,8.0,79.0,88.0,6.0,34.0,5.0,1.0,13.17,89.77,38.64,6.82
D Langford-Smith,9.0,79.0,83.0,5.0,42.0,6.0,2.0,15.8,95.18,50.6,9.64
K Canavarci,8.0,78.0,103.0,7.0,59.0,8.0,0.0,11.14,75.73,57.28,7.77
LU Igalagamage,2.0,78.0,112.0,3.0,73.0,12.0,0.0,26.0,69.64,65.18,10.71
Regina Khan,7.0,78.0,133.0,3.0,81.0,7.0,0.0,26.0,58.65,60.9,5.26
AS Roy,14.0,78.0,64.0,9.0,23.0,6.0,2.0,8.67,121.88,35.94,12.5
Jaswinder Singh,18.0,78.0,103.0,11.0,58.0,5.0,1.0,7.09,75.73,56.31,5.83
CD Barnwell,6.0,78.0,62.0,4.0,24.0,4.0,4.0,19.5,125.81,38.71,12.9
M Dixit,11.0,78.0,72.0,10.0,26.0,3.0,2.0,7.8,108.33,36.11,6.94
B Mpedi,7.0,78.0,99.0,6.0,57.0,10.0,0.0,13.0,78.79,57.58,10.1
R Ramadhasyena,2.0,78.0,48.0,1.0,18.0,8.0,4.0,78.0,162.5,37.5,25.0
MJ Cosgrove,2.0,78.0,78.0,2.0,43.0,7.0,2.0,39.0,100.0,55.13,11.54
Saran Aslam,6.0,78.0,41.0,5.0,11.0,5.0,6.0,15.6,190.24,26.83,26.83
JA Stiglitz,8.0,78.0,111.0,6.0,67.0,8.0,0.0,13.0,70.27,60.36,7.21
R Gowthaman,5.0,78.0,95.0,5.0,44.0,3.0,1.0,15.6,82.11,46.32,4.21
Sahil Tarakhil,4.0,78.0,61.0,4.0,27.0,7.0,4.0,19.5,127.87,44.26,18.03
RR Bastiansz,3.0,78.0,73.0,3.0,32.0,5.0,3.0,26.0,106.85,43.84,10.96
M Kearvell,4.0,78.0,83.0,3.0,34.0,5.0,0.0,26.0,93.98,40.96,6.02
V Aritharan,4.0,77.0,39.0,2.0,15.0,5.0,7.0,38.5,197.44,38.46,30.77
MK Anafie,6.0,77.0,66.0,5.0,32.0,5.0,5.0,15.4,116.67,48.48,15.15
Yogev Nagavkar,5.0,77.0,103.0,6.0,60.0,8.0,0.0,12.83,74.76,58.25,7.77
M Batnasan,12.0,77.0,105.0,15.0,52.0,7.0,0.0,5.13,73.33,49.52,6.67
FA Zavala,10.0,77.0,126.0,10.0,76.0,5.0,0.0,7.7,61.11,60.32,3.97
Sultan Ahmed (2),14.0,77.0,100.0,10.0,59.0,3.0,4.0,7.7,77.0,59.0,7.0
GC Viljoen,8.0,77.0,71.0,5.0,38.0,9.0,3.0,15.4,108.45,53.52,16.9
M Kpaka,14.0,77.0,140.0,13.0,83.0,0.0,1.0,5.92,55.0,59.29,0.71
D Kalvin,9.0,77.0,118.0,7.0,71.0,4.0,1.0,11.0,65.25,60.17,4.24
Rahmatullah Mangal,13.0,77.0,88.0,11.0,45.0,4.0,2.0,7.0,87.5,51.14,6.82
A Kanukuntla,8.0,77.0,164.0,6.0,110.0,4.0,0.0,12.83,46.95,67.07,2.44
OSB Tilley,9.0,77.0,93.0,9.0,47.0,10.0,0.0,8.56,82.8,50.54,10.75
Sajjida Shah,3.0,77.0,168.0,2.0,127.0,9.0,0.0,38.5,45.83,75.6,5.36
S Bodha,12.0,77.0,70.0,8.0,27.0,7.0,1.0,9.62,110.0,38.57,11.43
BK Majji,3.0,77.0,82.0,3.0,30.0,3.0,2.0,25.67,93.9,36.59,6.1
Z Franova,11.0,77.0,163.0,11.0,108.0,5.0,0.0,7.0,47.24,66.26,3.07
J Gray,8.0,77.0,137.0,8.0,92.0,7.0,0.0,9.62,56.2,67.15,5.11
Ameel Mauroof,13.0,77.0,120.0,10.0,63.0,3.0,1.0,7.7,64.17,52.5,3.33
AL Kerai,8.0,76.0,123.0,7.0,75.0,2.0,2.0,10.86,61.79,60.98,3.25
MD du Preez,5.0,76.0,102.0,3.0,53.0,5.0,1.0,25.33,74.51,51.96,5.88
A Salomao,23.0,76.0,131.0,17.0,81.0,5.0,0.0,4.47,58.02,61.83,3.82
Swann Htet Ko Ko,16.0,76.0,125.0,12.0,75.0,1.0,3.0,6.33,60.8,60.0,3.2
Uswa Syed,6.0,76.0,112.0,6.0,51.0,2.0,0.0,12.67,67.86,45.54,1.79
