bowler,format,recent_wkts,recent_econ,recent_avg,career_econ,career_avg,form_score,form_label
Mah Noor Amir,T20I,3,17.17,50.0,13.15,114.67,153.0,On Fire
Mahedi Hasan,ODI,1,3.7,37.0,4.82,29.56,105.1,Good
Mahedi Hasan,T20I,30,7.535,21.79,6.84,22.35,96.7,Good
Mahirah Izzati Ismail,T20I,30,5.1,16.5,4.82,13.53,88.3,Good
Maira Saleem,T20I,0,5.14,18.0,5.14,18.0,100.0,Good
Maiwand Momand,T20I,4,7.5,22.5,7.5,22.5,100.0,Good
Malyun Hassan,T20I,3,3.845,10.5,4.19,12.33,113.2,On Fire
Malyun Yusuf,T20I,8,4.715,17.07,4.83,10.38,81.6,Average
Manpreet Singh,T20I,8,5.93,22.125,7.86,40.62,158.1,On Fire
Mansi Parmar,T20I,1,7.03,34.0,7.03,34.0,100.0,Good
Mansoor Shah,T20I,12,9.115,30.4,9.0,18.0,79.0,Average
Marcelle Hanekom,T20I,3,8.82,41.67,8.82,41.67,100.0,Good
Maria Ababi,T20I,3,7.33,11.0,7.33,11.0,100.0,Good
Maria Jasvi,T20I,13,5.83,14.775,5.68,15.78,102.1,Good
Maria Penna,T20I,0,7.38,16.0,7.38,16.0,100.0,Good
Mariamma Hyder,T20I,9,6.525,23.0,5.26,15.81,74.7,Average
Marica Taira,T20I,0,7.0,7.0,7.0,7.0,100.0,Good
Marsya Qistina Binti,T20I,0,6.86,8.0,6.86,8.0,100.0,Good
Marufa Akter,ODI,17,4.38,30.905,4.61,29.0,99.5,Good
Marufa Akter,T20I,19,6.63,20.37,6.47,23.02,105.3,Good
Maryam Omar,T20I,12,4.215,18.0,4.84,15.18,99.6,Good
Mas Elysa,T20I,10,6.5,22.2,5.63,14.94,77.0,Average
Mashael Waqas,T20I,0,15.0,15.0,15.0,15.0,100.0,Good
Matilda Fred,T20I,1,5.0,10.0,5.0,10.0,100.0,Good
Matiullah Khan,T20I,4,9.03,37.25,9.03,37.25,100.0,Good
Matthew Mount,T20I,0,8.5,17.0,8.5,17.0,100.0,Good
Matthew Walker,T20I,3,7.98,37.67,7.98,37.67,100.0,Good
Mayank Nagayach,T20I,4,7.699999999999999,67.5,7.71,67.5,100.1,Good
Mazharul Islam,T20I,3,5.7,19.0,7.08,24.5,126.6,On Fire
Md Shuayeb,T20I,3,7.75,10.33,7.75,10.33,100.0,Good
Meet Bhavsar,T20I,6,8.77,18.83,7.01,17.75,87.1,Good
Meet Patel,ODI,1,7.16,37.0,7.16,37.0,100.0,Good
Meghana Lakayil,T20I,8,4.88,9.75,4.88,9.75,100.0,Good
Meghna Rajan,T20I,20,2.9450000000000003,6.3,2.79,5.45,90.6,Good
Meghna Singh,WPL,6,10.0,21.67,10.01,26.57,111.4,On Fire
Mehak Thakur,T20I,2,0.0,0.0,3.64,5.67,465.5,On Fire
Mehboob Ali,T20I,15,7.885,26.43,7.93,26.6,100.6,Good
Mehedi Hasan Miraz,ODI,18,4.03,41.625,4.77,33.31,99.2,Good
