bowler,format,recent_wkts,recent_econ,recent_avg,career_econ,career_avg,form_score,form_label
E Kamara,T20I,24,5.13,15.08,5.34,16.12,105.5,Good
E Karimi,T20I,10,7.9,20.125,6.91,17.88,88.2,Good
E Konasova,T20I,2,6.0,17.0,6.0,17.0,100.0,Good
E Kubwimana,T20I,6,8.05,25.5,9.2,21.79,99.9,Good
E Kuchey,T20I,0,8.6,43.0,8.73,96.0,162.4,On Fire
E Kuncova,T20I,8,6.35,28.875,7.02,38.33,121.6,On Fire
E Kusuda-Nairn,T20I,1,5.875,34.0,5.71,23.6,83.3,Average
E Malinga,IPL,35,9.129999999999999,20.57,9.2,21.29,102.1,Good
E Malinga,ODI,4,5.97,55.75,5.97,55.75,100.0,Good
E Malinga,T20I,11,9.135,28.564999999999998,9.13,28.36,99.6,Good
E Mapisa,T20I,1,7.0,14.0,7.0,14.0,100.0,Good
E Marx,ODI,1,5.0,80.0,5.34,42.71,80.1,Average
E Marx,T20I,3,5.71,13.33,7.85,30.75,184.1,On Fire
E Masuku,ODI,3,5.95,24.25,5.91,21.67,94.3,Good
E Mathew,T20I,1,12.5,75.0,7.95,23.53,47.5,Poor
E Millington,T20I,4,5.13,19.25,6.06,27.25,129.8,On Fire
E Mmese,T20I,2,4.25,17.0,4.25,17.0,100.0,Good
E Mulenga,T20I,1,8.37,60.0,8.37,60.0,100.0,Good
E Ndubudem,T20I,8,5.35,15.38,5.35,15.38,100.0,Good
E Packard,T20I,5,7.61,24.6,7.55,36.86,124.5,On Fire
E Prokic,T20I,3,7.529999999999999,54.0,6.58,24.12,66.0,Average
E Richard,T20I,4,6.3,21.0,6.3,21.0,100.0,Good
E Robinson,T20I,11,8.16,11.0,8.16,11.0,100.0,Good
E Rukiriza,T20I,36,5.47,13.41,6.26,16.28,117.9,On Fire
E Sagoe,T20I,1,11.75,47.0,11.75,47.0,100.0,Good
E Toguchi-Quinn,T20I,20,5.83,8.55,4.86,12.13,112.6,On Fire
E Ungerman,T20I,4,5.965,24.75,5.81,15.64,80.3,Average
E Wachira,T20I,3,6.0,34.0,4.66,11.32,55.5,Poor
EA Perry,ODI,0,6.0,30.0,4.46,26.85,81.9,Average
EA Perry,T20I,5,7.3100000000000005,13.5,5.81,15.89,98.6,Good
EA Perry,WPL,3,9.92,43.0,8.18,30.86,77.1,Average
EAS Ferrary,T20I,3,5.12,13.67,4.53,8.88,76.7,Average
ECB Moore,T20I,10,7.545,19.04,7.07,18.75,96.1,Good
ECM Egodagamage,T20I,5,4.71,6.6,4.71,6.6,100.0,Good
EF Faalupega,T20I,2,6.0,12.0,6.0,12.0,100.0,Good
EFB Estrada,T20I,1,0.97,6.0,3.0,8.6,226.3,On Fire
EJ Carson,ODI,6,4.86,48.83,4.98,45.72,98.1,Good
EJ Carson,T20I,0,8.36,117.0,6.54,18.17,46.9,Poor
EL Arlott,ODI,6,4.47,14.67,4.47,14.67,100.0,Good
EL Arlott,T20I,9,7.9,21.22,7.9,21.22,100.0,Good
EL Bartram,T20I,10,7.1899999999999995,20.48,6.45,20.05,93.8,Good
EL Lamb,ODI,0,6.67,20.0,5.52,38.67,138.1,On Fire
EN Lynch,T20I,6,5.86,21.5,5.42,16.69,85.1,Good
ER Oza,ODI,14,3.25,15.14,3.25,15.14,100.0,Good
ER Oza,T20I,43,4.6850000000000005,8.57,4.99,11.18,118.5,On Fire
ET Williams,T20I,4,6.0,23.75,6.0,23.75,100.0,Good
EU Kejarukua,T20I,30,5.01,21.05,4.73,17.95,89.8,Good
Ebadat Hossain,Test,3,3.96,124.5,3.62,55.39,68.0,Average
Edward Fleming,T20I,20,5.86,14.6,5.86,14.6,100.0,Good
Ehsan Adil,ODI,7,4.07,16.0,5.14,30.45,158.3,On Fire
Ehsan Adil,T20I,0,12.32,39.0,12.32,39.0,100.0,Good
Ehsan Khan,T20I,40,6.175,17.73,6.18,14.36,90.5,Good
Elan Talker,T20I,5,9.2,36.8,8.4,30.55,87.2,Good
Elias Hasan,T20I,1,14.33,43.0,9.71,110.0,161.8,On Fire
Elias Tilman,T20I,4,9.63,43.75,9.63,43.75,100.0,Good
Elina Rama,T20I,0,5.0,10.0,5.0,10.0,100.0,Good
Elizabeth Annor,T20I,0,12.46,27.0,12.46,27.0,100.0,Good
Ellen Asante,T20I,0,9.0,18.0,9.0,18.0,100.0,Good
Elyza Wall,T20I,4,7.17,21.5,7.17,21.5,100.0,Good
Emanuel,T20I,2,7.38,29.5,7.38,29.5,100.0,Good
Emily Sirs,T20I,0,3.25,13.0,3.25,13.0,100.0,Good
Esam Rahman,T20I,1,8.135,62.5,8.62,125.0,153.0,On Fire
Ethan D'Souza,T20I,5,6.62,10.6,6.62,10.6,100.0,Good
Eva Somsel Yangzom,T20I,0,10.0,10.0,10.0,20.0,150.0,On Fire
Ezgi Nur Kilic,T20I,19,3.8950000000000005,7.48,4.99,10.82,136.4,On Fire
F Banunaek,T20I,50,6.775,25.895,6.71,20.61,89.3,Good
F Bulpitt,T20I,1,6.9,23.0,6.9,23.0,100.0,Good
F Chenda,T20I,0,13.0,13.0,13.0,13.0,100.0,Good
F Chipare,ODI,2,5.47,46.5,4.73,31.17,76.8,Average
F Chipare,T20I,7,7.75,29.71,7.14,23.61,85.8,Good
F Effiong,T20I,2,4.25,8.5,4.25,8.5,100.0,Good
F Eseigbe,T20I,12,5.69,9.25,4.86,14.35,120.3,On Fire
F Hand,T20I,0,7.89,25.0,9.8,46.4,154.9,On Fire
F Khaliq,T20I,8,7.895,21.585,7.05,16.31,82.4,Average
F Mutua,T20I,5,7.0,22.75,6.95,15.0,82.6,Average
F Nsubuga,T20I,6,4.84,20.17,4.64,14.07,82.8,Average
F O'Neill,BBL,3,8.36,46.0,7.87,27.55,77.0,Average
F Overdijk,T20I,18,7.26,34.59,6.83,17.02,71.6,Average
F Pessima,T20I,3,4.8,8.0,3.97,9.5,100.7,Good
F Sisifo,T20I,2,7.38,16.0,8.53,27.0,142.2,On Fire
F Stoman,T20I,8,5.27,12.62,6.51,18.38,134.6,On Fire
F Tanguy,T20I,5,5.23,24.4,5.1,17.08,83.8,Average
F Tunnicliffe,ODI,1,4.0,8.0,4.0,8.0,100.0,Good
F Zirahangaje,T20I,1,9.0,54.0,9.0,54.0,100.0,Good
FA Allen,CPL,1,6.845000000000001,23.0,8.0,27.72,118.7,On Fire
FA Allen,T20I,0,8.75,35.0,7.57,31.92,88.9,Good
FA Sargent,ODI,2,7.27,91.5,5.96,39.58,62.6,Average
FA Sargent,T20I,5,6.21,17.4,6.51,24.73,123.5,On Fire
FC Jonas,ODI,3,4.0,13.33,4.59,40.52,209.4,On Fire
FC Muniz,T20I,2,5.83,17.5,5.83,17.5,100.0,Good
FDM Devonshire,ODI,0,5.0,10.0,5.0,10.0,100.0,Good
FDM Devonshire,T20I,2,6.165,15.5,6.2,15.5,100.3,Good
FDM Karunaratne,Test,0,4.5,3.0,3.88,101.0,1726.4,
FFZ Nhaduate,T20I,4,7.23,13.25,7.23,13.25,100.0,Good
FG Kemp,T20I,12,7.8,21.225,7.76,19.81,96.4,Good
FJ Klaassen,ODI,0,6.0,60.0,4.5,29.77,62.3,Average
FJ Klaassen,T20I,3,9.5,19.0,7.64,22.56,99.6,Good
FL Albanjari,T20I,4,2.4,2.0,2.4,2.0,100.0,Good
FL Patel,T20I,3,5.1899999999999995,23.75,7.14,30.0,131.9,On Fire
FN Walsh,T20I,3,6.48,9.0,10.41,17.0,174.8,On Fire
FO Kibasu,T20I,6,4.48,8.83,6.16,13.7,146.3,On Fire
Faheem Ashraf,ODI,7,5.71,50.75,5.22,44.39,89.4,Good
Faheem Ashraf,PSL,26,9.885,24.1,8.72,22.9,91.6,Good
Faheem Ashraf,T20I,23,9.145,36.07,7.83,24.15,76.3,Average
Faheem Nazir,T20I,3,6.31,13.67,7.5,16.94,121.4,On Fire
Fahima Khatun,ODI,17,4.76,29.355,4.54,30.26,99.2,Good
Fahima Khatun,T20I,14,6.095,13.855,5.85,18.8,115.8,On Fire
Faisal Akram,ODI,2,4.2,21.0,4.14,17.43,90.8,Good
Faisal Akram,PSL,7,8.655000000000001,24.855,8.96,27.22,106.5,Good
Faisal Khan,T20I,0,10.0,10.0,9.81,39.25,245.3,On Fire
Faisal Raza,T20I,1,9.75,39.0,9.75,39.0,100.0,Good
Faizal Salehji,T20I,0,7.5,15.0,7.5,15.0,100.0,Good
Faizalmahmed Patel,T20I,1,10.0,30.0,10.0,30.0,100.0,Good
Faraaz Mehti Abbas,T20I,1,9.66,66.0,9.66,66.0,100.0,Good
Faridullah Shams,T20I,6,8.05,17.67,8.05,17.67,100.0,Good
Fariha Trisna,ODI,0,6.08,78.0,4.8,31.33,59.6,Poor
Fariha Trisna,T20I,7,8.865,67.5,7.61,26.59,62.6,Average
Faris Al Balushi,T20I,0,17.0,17.0,17.0,17.0,100.0,Good
Farmanullah Ghari,T20I,6,6.55,17.83,6.55,17.83,100.0,Good
Farwa Baber,T20I,2,6.0,34.0,6.0,34.0,100.0,Good
Fatima Sana,ODI,35,5.275,24.115,5.41,25.6,104.4,Good
Fatima Sana,T20I,27,7.9399999999999995,16.105,7.37,21.21,112.3,On Fire
Fawad Ali,PSL,2,8.76,54.0,8.76,54.0,100.0,Good
Fayaz Khan,T20I,6,9.475,29.25,7.55,18.05,70.7,Average
Fazalhaq Farooqi,CPL,5,8.87,27.2,8.87,27.2,100.0,Good
Fazalhaq Farooqi,IPL,0,12.35,210.0,10.32,72.83,59.1,Poor
Festus Benn,T20I,13,6.57,17.625,6.26,14.38,88.4,Good
Firas Hussain,T20I,3,7.705,19.75,8.88,21.6,112.3,On Fire
Fiza,T20I,23,4.37,7.215,5.17,8.61,118.8,On Fire
Florencia Martinez,T20I,0,6.64,31.0,10.03,102.0,240.0,On Fire
Francesca Galan,T20I,2,4.29,17.5,4.47,12.67,88.3,Good
Franz Bur,T20I,0,9.0,9.0,8.33,12.5,115.7,On Fire
Frida Larsen,T20I,5,5.67,10.4,5.67,10.4,100.0,Good
Furkan Tuskan,T20I,3,9.12,37.0,9.12,37.0,100.0,Good
G Ayan,T20I,10,5.109999999999999,18.055,6.36,21.0,120.4,On Fire
G Bruno,T20I,2,10.0,20.0,10.0,20.0,100.0,Good
G Candiru,T20I,13,6.32,24.985,6.11,25.73,99.8,Good
G Cengiz,T20I,3,6.83,22.0,7.78,35.0,136.5,On Fire
G Chilia,T20I,2,6.24,13.0,6.24,13.0,100.0,Good
G Chohan,T20I,10,6.805,15.765,9.05,29.46,159.9,On Fire
G Coetzee,IPL,2,10.92,65.5,10.34,31.47,71.4,Average
G Coetzee,T20I,2,10.59,45.0,10.53,32.36,85.7,Good
G Dempsey,ODI,5,6.32,74.91499999999999,5.32,41.47,69.8,Average
G Essoun,T20I,1,9.36,39.0,9.36,39.0,100.0,Good
G Fontenla,T20I,1,7.87,118.0,7.87,118.0,100.0,Good
G Ford,T20I,3,6.125,56.25,6.28,45.33,91.6,Good
G Hoey,Test,4,3.9,49.75,3.9,49.75,100.0,Good
G Ilarionova,T20I,4,8.459999999999999,83.66499999999999,8.32,40.67,73.5,Average
G Irvin,T20I,5,5.01,11.2,5.01,11.2,100.0,Good
G Ishimwe,T20I,3,5.0,21.67,5.7,18.7,100.1,Good
G Kodali,ODI,1,5.62,73.0,5.65,42.75,79.5,Average
G Kodali,T20I,15,6.755,25.335,6.1,21.44,87.5,Good
G Kuthalingham,T20I,1,5.35,33.0,5.35,33.0,100.0,Good
G Madanayake,T20I,5,7.475,15.6,5.52,20.8,103.6,Good
G Mallett,T20I,2,7.5,7.5,4.92,7.53,83.0,Average
G Matome,T20I,28,3.535,8.8,4.18,10.94,121.3,On Fire
G Mckeon,T20I,0,16.5,33.0,6.94,24.0,57.4,Poor
G Motie,CPL,25,7.99,17.02,7.32,18.97,101.5,Good
G Motie,ODI,19,5.215,40.315,4.74,29.72,82.3,Average
G Motie,T20I,18,8.71,35.81,7.99,23.96,79.3,Average
G Motie,Test,8,3.55,22.5,3.26,26.28,104.3,Good
G Mugwaneza,T20I,1,8.5,17.0,8.5,17.0,100.0,Good
G Newton,T20I,6,5.0,19.17,5.0,19.17,100.0,Good
G Oliveira,T20I,11,7.734999999999999,35.0,6.5,25.21,78.0,Average
G Quaicoe,T20I,3,8.0,18.67,8.0,18.67,100.0,Good
G Ribeiro,T20I,1,5.73,9.5,6.0,19.0,152.4,On Fire
G Richardson,T20I,3,7.09,17.33,8.09,23.25,124.1,On Fire
G Sanjeewa,T20I,3,5.68,23.67,5.68,23.67,100.0,Good
G Sesay,T20I,7,3.1,6.71,5.34,10.26,162.6,On Fire
G Setshwane,T20I,10,3.62,9.1,3.62,9.1,100.0,Good
G Shukla,T20I,2,6.8,42.5,5.07,23.67,65.1,Average
G Singh,T20I,4,6.58,31.25,5.56,19.17,72.9,Average
G Stewart,T20I,12,7.555,29.5,6.91,21.7,82.5,Average
G Sultana,WPL,0,16.0,16.0,10.0,60.0,218.8,On Fire
G Toka,T20I,1,6.67,20.0,6.67,20.0,100.0,Good
G Tuskan,T20I,4,7.97,24.25,7.97,24.25,100.0,Good
G Urjindulam,T20I,0,12.875,14.5,12.43,29.0,148.3,On Fire
G Venkateswaran,T20I,6,13.415,32.165,10.38,39.29,99.8,Good
G Voll,T20I,0,10.0,10.0,10.0,10.0,100.0,Good
G Voll,WPL,1,7.81,10.0,7.5,20.0,148.0,On Fire
G Wareham,ODI,12,4.575,22.835,4.39,24.54,101.7,Good
G Wareham,T20I,19,5.66,13.445,6.0,14.58,107.2,Good
G Wareham,WPL,20,8.94,23.880000000000003,8.76,24.76,100.8,Good
G Wetherall,T20I,13,6.77,12.15,5.98,15.68,108.7,Good
GA Priandana,T20I,20,7.77,44.87,7.38,17.86,67.4,Average
GBK Roland,T20I,0,15.6,78.0,15.6,78.0,100.0,Good
GC Galanis,T20I,0,9.0,9.0,6.11,18.25,135.3,On Fire
GC Murtaza,T20I,11,7.53,24.18,7.4,22.03,94.7,Good
GD Arta,T20I,32,5.795,15.594999999999999,6.12,17.44,108.7,Good
GD Phillips,CPL,2,8.5,8.5,6.75,13.5,119.1,On Fire
GD Phillips,ODI,3,6.195,77.66499999999999,6.1,50.75,81.9,Average
GD Phillips,T20I,3,10.885,32.335,8.4,28.64,82.9,Average
GD Phillips,Test,2,3.05,30.5,3.57,31.03,109.4,Good
GE Gutierrez Chavez,T20I,1,2.0,1.0,2.0,1.0,100.0,Good
GEM Brealey,T20I,3,6.08,9.5,6.18,25.5,185.0,On Fire
GES Sullivan,T20I,9,4.54,14.22,4.54,14.22,100.0,Good
GF Cardos,T20I,0,12.0,12.0,12.0,12.0,100.0,Good
GF Linde,IPL,1,8.92,55.0,8.92,55.0,100.0,Good
GF Linde,ODI,1,6.8,68.0,5.56,35.0,66.6,Average
GF Linde,PSL,0,10.0,20.0,9.0,126.0,360.0,On Fire
GF Linde,T20I,13,7.154999999999999,23.05,7.29,21.64,97.9,Good
GG Alta,T20I,0,15.0,105.0,9.85,25.77,45.1,Poor
GH Dockrell,ODI,5,7.52,21.8,4.97,36.21,116.1,On Fire
GH Dockrell,T20I,8,4.86,13.38,6.78,18.24,137.9,On Fire
GHS Garton,BBL,3,9.0,21.0,10.04,30.11,127.5,On Fire
GI Hume,ODI,3,5.3,47.67,5.42,25.1,77.5,Average
GI Hume,T20I,3,10.5,25.67,9.49,21.75,87.6,Good
GJ Delany,T20I,15,7.779999999999999,22.700000000000003,7.56,25.55,104.9,Good
GJ Hilkowitz,T20I,4,5.27,14.5,5.27,14.5,100.0,Good
GJ Maxwell,BBL,2,7.449999999999999,74.5,7.69,31.55,72.8,Average
GJ Maxwell,IPL,4,8.46,27.5,8.3,31.4,106.1,Good
GJ Maxwell,ODI,1,6.76,116.0,5.48,44.54,59.7,Poor
GJ Maxwell,PSL,8,8.44,16.88,8.44,16.88,100.0,Good
GJ Maxwell,T20I,8,8.305,23.335,8.11,27.85,108.5,Good
GK Diviya,T20I,6,4.76,16.67,4.17,13.9,85.5,Good
GM Harris,ODI,1,10.0,20.0,3.74,17.89,63.4,Average
GM Harris,WPL,10,7.96,14.0,7.83,24.31,136.0,On Fire
GM Muthui,T20I,9,4.1899999999999995,6.415,6.44,15.67,199.0,On Fire
GMK Jayaweera,T20I,4,9.14,8.0,9.14,8.0,100.0,Good
GP Tom,ODI,3,3.55,22.67,3.92,27.14,115.1,On Fire
GP Tom,T20I,14,7.9399999999999995,22.535,5.87,19.88,81.1,Average
GS Dinusha,Test,6,3.105,53.5,3.67,53.5,109.1,Good
GS Sandhu,BBL,23,9.83,17.345,8.22,22.35,106.2,Good
GSNFG Jayasuriya,ODI,1,5.88,47.0,5.59,100.67,154.6,On Fire
GT Taylor,T20I,7,8.945,28.54,8.46,20.86,83.8,Average
Gaba Frank,T20I,2,11.0,11.0,11.0,11.0,100.0,Good
Gabor Torok,T20I,0,15.0,5.0,15.0,5.0,100.0,Good
Gagandeep Singh,T20I,2,12.555,82.0,9.51,59.57,74.2,Average
Gargi Arya,T20I,1,5.5,11.0,5.5,11.0,100.0,Good
Gaurav Tiwari,T20I,7,7.53,35.54,6.43,24.22,76.8,Average
Geovanis Uwase,T20I,9,5.335,16.5,5.33,16.67,100.5,Good
Ghayour Ahmad,T20I,0,8.75,35.0,8.75,35.0,100.0,Good
Ghulam Abbas Butt,T20I,2,7.88,31.5,6.17,37.0,97.9,Good
Ghulam Ahmadi,T20I,6,7.58,27.5,6.19,17.39,72.4,Average
Gong Yuting,T20I,3,4.21,35.5,5.12,37.0,112.9,On Fire
Grace Cottier,T20I,3,7.65,17.0,7.65,17.0,100.0,Good
Gulsan Jha,ODI,10,5.49,56.445,5.91,32.7,82.8,Average
Gulsan Jha,T20I,7,4.035,8.07,7.29,21.79,225.3,On Fire
Gurjapneet Singh,IPL,4,9.26,58.25,9.26,58.25,100.0,Good
Gurnoor Brar,ODI,4,7.71,56.25,7.71,56.25,100.0,Good
Gurpreet Singh,T20I,9,6.74,17.22,6.66,20.11,107.8,Good
H Agarwal,T20I,0,9.5,19.0,5.85,19.0,80.8,Average
H Aggarwal,T20I,4,7.43,26.0,7.43,26.0,100.0,Good
H Beresford-Peirse,T20I,1,8.67,26.0,8.67,26.0,100.0,Good
H Bharadwaj,T20I,2,8.95,42.5,5.85,15.19,50.6,Poor
H Carlyon,T20I,9,6.535,13.25,5.94,15.71,104.7,Good
H Celik,T20I,24,4.715,7.71,4.67,7.88,100.6,Good
H Chamto,T20I,2,4.970000000000001,63.5,5.08,24.75,70.6,Average
H Dassanayake,T20I,0,5.67,17.0,5.67,17.0,100.0,Good
H Deol,ODI,0,12.0,12.0,5.34,40.5,191.0,On Fire
H Deshan,T20I,9,7.245,22.085,7.31,21.11,98.2,Good
H Dhami,ODI,1,6.47,41.0,6.21,22.5,75.4,Average
H Dhami,T20I,2,8.0,20.0,8.0,20.0,100.0,Good
H Dhavina,T20I,7,5.45,18.285,5.53,24.65,118.1,On Fire
H Doriga,ODI,0,9.0,9.0,9.0,9.0,100.0,Good
H Doriga,T20I,0,8.5,51.0,9.0,90.0,141.2,On Fire
H Elder,T20I,1,6.19,32.0,6.19,32.0,100.0,Good
H Fennell,T20I,9,6.07,31.75,6.06,12.74,70.0,Average
H Graham,WPL,1,11.75,47.0,11.75,47.0,100.0,Good
H Hotchandani,ODI,0,4.7,47.0,4.7,47.0,100.0,Good
H Hotchandani,T20I,25,4.26,11.94,4.69,13.5,111.6,On Fire
H Ishimwe,T20I,62,4.949999999999999,10.075,4.59,9.34,92.7,Good
H Kaur,ODI,0,5.0,25.0,5.15,42.96,137.4,On Fire
H Kaushik,ODI,0,5.16,98.0,5.16,98.0,100.0,Good
H Kaushik,T20I,2,7.665,44.5,7.18,61.0,115.4,On Fire
H Kerr,BBL,9,8.795,28.25,8.44,22.53,87.9,Good
H Khogiyani,T20I,11,8.145,32.59,7.76,32.0,96.7,Good
H Khuttan,T20I,9,7.305,30.0,6.5,14.44,68.6,Average
H Klazinge,T20I,0,11.0,11.0,6.86,10.58,79.3,Average
H Lakov,T20I,6,11.84,57.5,8.45,26.38,58.6,Poor
H Leko,T20I,1,4.8,20.0,4.66,22.5,104.8,Good
H Lin Aung,T20I,11,7.14,13.64,7.07,16.91,111.5,On Fire
H Lin Oo,T20I,8,7.5,11.25,8.65,22.5,157.7,On Fire
H Mbam,T20I,8,5.91,7.88,5.91,7.88,100.0,Good
H Mumford,T20I,2,5.17,15.5,5.22,16.33,103.2,Good
H Nguyen,T20I,1,8.22,74.0,8.22,74.0,100.0,Good
H Pattenden,T20I,2,9.88,39.5,9.88,39.5,100.0,Good
H Rashid,T20I,1,3.33,10.0,7.62,30.5,266.9,On Fire
H Santhoshkumar,T20I,0,7.67,23.0,7.67,23.0,100.0,Good
H Satheedevi,T20I,3,6.8,11.33,10.36,31.5,215.2,On Fire
H Sawaneh,T20I,0,13.5,27.0,6.0,21.0,61.1,Average
H Shreya,T20I,10,6.4,9.4,5.78,5.3,73.3,Average
H Singh,T20I,0,10.0,10.0,11.0,44.0,275.0,On Fire
H Ssenyondo,T20I,6,4.77,15.5,5.32,13.5,99.3,Good
H Thaker,ODI,4,5.26,109.0,4.49,36.35,59.4,Poor
H Thaker,T20I,11,5.62,17.73,6.07,18.0,104.8,Good
H Venkataram,T20I,22,6.775,20.175,7.31,17.05,96.2,Good
HA Daluwatta,T20I,0,8.73,32.0,10.0,70.0,166.6,On Fire
HAM Shah,T20I,13,7.68,9.85,6.77,10.06,95.1,Good
HB Dickson,T20I,11,5.09,19.035,5.34,21.18,108.1,Good
HC Brook,Test,0,5.24,36.5,4.22,123.0,208.8,On Fire
HC Knight,Test,0,5.0,5.0,2.45,24.43,268.8,On Fire
HDJ Siegers,T20I,28,5.8149999999999995,16.355,6.16,17.49,106.4,Good
HER Tyler,T20I,11,8.86,14.91,8.97,22.8,127.1,On Fire
HH Aung,T20I,2,7.555,16.5,4.62,15.86,78.6,Average
HH Pandya,IPL,18,10.445,44.59,9.3,31.26,79.6,Average
HH Pandya,ODI,10,6.21,27.1,5.59,34.47,108.6,Good
HH Pandya,T20I,26,8.92,27.810000000000002,8.28,25.8,92.8,Good
HJ Manenti,T20I,9,8.290000000000001,40.31,6.69,11.69,54.8,Poor
HJ Thomas,ODI,19,3.71,12.004999999999999,3.7,16.75,119.6,On Fire
HJ Thomas,T20I,31,5.5649999999999995,20.47,5.05,15.77,83.9,Average
HK Brahmbhatt,T20I,3,7.57,17.67,7.57,17.67,100.0,Good
HK Kukreja,T20I,1,12.75,51.0,12.75,51.0,100.0,Good
HK Matthews,ODI,42,4.265,20.28,4.35,23.86,109.8,Good
HK Matthews,T20I,28,6.745,19.29,6.3,16.39,89.2,Good
HK Matthews,WPL,25,9.155000000000001,21.975,7.6,17.61,81.6,Average
HL Harji,T20I,1,7.5,15.0,7.72,27.57,143.4,On Fire
HL Tau,ODI,2,5.305,31.0,5.48,47.5,128.3,On Fire
HL Tau,T20I,17,5.425,18.91,5.44,19.41,101.5,Good
HM Bandara,T20I,0,5.5,11.0,5.5,11.0,100.0,Good
HM Rowe,ODI,4,3.5,15.75,4.78,26.58,152.7,On Fire
HMD Rasangika,T20I,11,7.414999999999999,18.275,6.76,17.44,93.3,Good
HMHE Parsons,T20I,8,10.785,22.07,10.34,10.12,70.9,Average
HRA Rainey,ODI,1,8.33,50.0,5.85,19.1,54.2,Poor
HRA Rainey,T20I,4,7.685,43.165,5.73,22.29,63.1,Average
HS Bedi,T20I,0,9.0,18.0,9.0,18.0,100.0,Good
HT Tector,ODI,0,7.5,45.0,6.43,96.5,150.1,On Fire
HT Tector,T20I,5,7.74,33.665,7.04,25.42,83.2,Average
HT Tector,Test,2,5.195,34.75,5.12,84.5,170.9,On Fire
HTRY Thornton,BBL,7,10.065000000000001,17.75,8.61,19.81,98.6,Good
HV Patel,IPL,17,10.245000000000001,86.645,8.85,22.18,56.0,Poor
HWA Landheer,ODI,0,7.0,7.0,4.54,17.42,156.9,On Fire
HWA Landheer,T20I,22,7.135,14.86,6.16,15.63,95.8,Good
Habib Khan,T20I,20,7.695,14.565000000000001,6.57,14.05,90.9,Good
Hadia Siddiqui,T20I,6,5.96,18.75,6.64,22.5,115.7,On Fire
Hadisullah Tarakhel,T20I,3,10.72,36.33,10.72,36.33,100.0,Good
Haider Ali,ODI,7,3.9400000000000004,44.29,3.94,43.29,98.9,Good
Haider Ali,T20I,33,6.795,22.424999999999997,6.24,17.39,84.7,Average
Hailey Wong,T20I,0,8.5,17.0,8.5,17.0,100.0,Good
Hamid Mahmood,T20I,5,5.755,21.75,5.25,16.53,83.6,Average
Hamid Safi,T20I,4,10.71,18.75,10.71,18.75,100.0,Good
Hammadullah Shinwari,T20I,19,6.28,13.21,6.28,13.21,100.0,Good
Hamza Dar,T20I,1,6.5,8.5,7.23,29.33,228.1,On Fire
Hamza Khan,T20I,0,10.5,10.5,10.5,21.0,150.0,On Fire
Happy Kumari,WPL,0,10.0,10.0,10.0,10.0,100.0,Good
Hardeep Singh,T20I,1,8.75,70.0,8.75,70.0,100.0,Good
Haris Karim,T20I,0,14.0,14.0,14.0,14.0,100.0,Good
Haris Rauf,BBL,21,8.185,15.719999999999999,7.92,15.38,97.3,Good
Haris Rauf,ODI,26,5.51,23.354999999999997,5.8,25.06,106.3,Good
Haris Rauf,PSL,31,10.04,23.175,9.32,26.76,104.1,Good
Haris Rauf,T20I,22,8.95,18.05,8.35,19.38,100.3,Good
Harmeet Singh,ODI,32,4.2,22.97,4.11,24.55,102.4,Good
Harmeet Singh,T20I,10,7.640000000000001,18.405,6.94,20.46,101.0,Good
Harper Chalmers,T20I,6,3.95,8.33,3.95,8.33,100.0,Good
Harpreet Brar,IPL,12,8.035,24.5,7.99,30.95,112.9,On Fire
Harry Johnson,T20I,2,9.29,48.0,8.09,29.29,74.1,Average
Harsh Dubey,IPL,13,10.08,24.05,10.19,25.08,102.7,Good
Harshit Rana,IPL,15,10.11,29.87,9.45,24.5,87.7,Good
Harshit Rana,ODI,28,6.41,26.52,6.22,25.43,96.5,Good
Harshit Rana,T20I,16,9.74,25.41,9.68,25.5,99.9,Good
Hasan Ali,BBL,9,7.9,28.165,7.91,25.78,95.8,Good
Hasan Ali,ODI,2,5.82,47.5,5.81,28.29,79.7,Average
Hasan Ali,PSL,35,9.09,19.465,8.2,20.59,98.0,Good
Hasan Ali,T20I,13,10.57,17.08,8.59,20.5,100.6,Good
Hasan Ali,Test,8,3.0300000000000002,30.19,3.05,27.16,95.3,Good
Hasan Mahmud,ODI,0,6.14,43.0,5.97,30.72,84.3,Average
Hasan Mahmud,T20I,6,10.33,29.83,7.8,23.21,76.7,Average
Hasan Mahmud,Test,15,3.4450000000000003,35.72,3.56,30.47,94.3,Good
Hasan Murad,Test,12,2.63,17.0,2.63,17.0,100.0,Good
Hassan Khan,BBL,6,8.555,44.5,8.27,34.86,87.5,Good
Hassan Khan,CPL,7,7.42,38.165,7.9,36.38,100.9,Good
Hassan Khan,PSL,8,8.48,36.38,7.83,34.96,94.2,Good
Hassan Khan Mohammad,T20I,11,8.34,19.09,8.98,23.0,114.1,On Fire
Hassan Nasir,T20I,2,5.3100000000000005,15.75,5.2,26.0,131.5,On Fire
Hassan Nawaz,PSL,2,10.9,19.0,10.83,32.5,135.2,On Fire
Hassnain Shah,ODI,13,5.975,55.725,5.98,30.62,77.5,Average
Hassnain Shah,T20I,4,9.45,26.0,9.45,26.0,100.0,Good
Hayatullah Niazi,T20I,4,6.1,15.25,6.71,20.5,122.2,On Fire
Heal Theara,T20I,1,6.48,68.0,5.7,23.5,61.3,Average
Hisham Sheikh,T20I,5,6.78,31.4,7.13,24.25,91.2,Good
