bowler,format,cluster,wickets,economy,average,dot_pct
KH Brunt,T20I,7,102,5.77,16.08,53.55
Yuvraj Singh,ODI,6,102,5.14,33.76,46.3
PL Harris,Test,5,102,2.66,37.55,76.01
S Laomi,T20I,7,102,4.44,12.22,53.83
Abdur Rehman,Test,5,102,2.53,28.53,76.13
JH Kallis,ODI,6,102,5.11,32.4,52.11
AN Kelly,T20I,2,102,6.02,11.92,46.78
Karan KC,ODI,1,102,5.19,24.32,59.98
LL Tsotsobe,ODI,1,102,4.76,22.69,61.88
AR Ramjani,T20I,7,102,4.68,9.29,53.91
P Kumar,IPL,0,102,7.73,31.87,45.43
Rashid Khan,BBL,0,101,6.44,16.99,39.77
BM Scholtz,ODI,1,101,3.35,18.67,66.56
Sikandar Raza,T20I,0,101,6.89,21.63,34.86
Haris Rauf,ODI,1,101,5.85,25.0,52.32
BW Hilfenhaus,Test,5,101,2.75,27.94,78.5
JL Jonassen,T20I,2,101,5.73,15.95,45.08
Naved-ul-Hasan,ODI,1,100,5.35,26.0,57.03
Avesh Khan,IPL,3,100,9.26,27.34,36.02
Bilal Khan,ODI,1,100,5.03,20.36,59.05
Haris Rauf,PSL,0,100,9.32,26.76,35.89
YS Chahal,T20I,0,100,8.17,24.09,34.03
PVD Chameera,T20I,0,100,7.95,21.81,40.46
DM Nakrani,T20I,7,100,5.65,13.4,49.93
RP Singh,IPL,0,100,7.85,23.38,44.18
JNT Seales,Test,1,100,3.39,24.58,73.74
I Sharma,IPL,3,100,8.3,33.77,43.82
MD Bimenyimana,T20I,7,100,4.23,8.98,58.16
DT Christian,BBL,0,100,8.21,24.5,32.77
TL Chatara,ODI,1,99,5.37,31.23,56.7
PP Ojha,IPL,0,99,7.36,23.56,37.24
IK Pathan,IPL,0,99,7.78,26.76,43.3
SP Narine,ODI,1,99,4.1,24.04,60.17
LH Ferguson,ODI,1,98,5.71,31.31,54.8
KH Brunt,ODI,1,98,3.79,22.29,66.9
AR Patel,T20I,0,98,7.52,20.4,40.44
PD Collingwood,ODI,6,98,4.85,34.95,48.96
RR Emrit,CPL,0,98,7.64,21.2,38.87
F Banunaek,T20I,0,98,6.92,20.2,45.22
K Santokie,CPL,0,98,7.67,16.52,40.52
IJR Zwilling,T20I,7,98,5.04,14.86,58.4
ER Oza,T20I,7,98,5.06,11.99,52.01
TM Dilshan,ODI,6,97,4.92,42.9,45.28
DJ Hawoe,T20I,0,97,7.22,21.03,46.25
GS Sandhu,BBL,0,97,8.22,22.35,38.18
S Luus,ODI,1,97,4.7,26.3,51.06
AY Patel,Test,5,97,3.14,27.04,73.78
L Delany,T20I,2,97,6.17,15.93,41.45
KK Ahmed,IPL,0,96,8.92,25.77,43.3
AL Phehlukwayo,ODI,6,96,5.8,30.73,48.2
SS Cottrell,CPL,0,96,7.72,20.5,46.86
M Prasidh Krishna,IPL,0,96,8.82,25.97,41.39
SR Clark,Test,5,96,2.6,23.36,79.36
AJ Hosein,T20I,0,96,7.41,25.09,40.05
NM Coulter-Nile,BBL,0,96,7.44,20.72,39.93
JA Morkel,IPL,0,96,8.15,24.57,39.34
S Ismail,T20I,2,95,5.87,18.44,51.95
KL Cross,ODI,1,95,4.48,24.52,63.68
Zahoor Khan,ODI,1,95,4.99,24.42,55.27
Mohammad Asif,Test,5,95,2.91,23.56,77.84
RL Chase,Test,5,95,3.54,47.64,66.57
SFM Devine,T20I,0,95,7.08,18.52,41.92
Sompal Kami,ODI,1,94,5.41,27.41,58.3
DL Chahar,IPL,0,94,8.24,29.36,42.91
A Nel,ODI,1,94,4.62,23.4,62.79
CJ Green,BBL,0,94,7.26,28.77,33.91
Fawad Ahmed,BBL,0,94,7.13,26.37,33.14
Saeed Ajmal,T20I,2,94,6.36,16.13,43.36
Umar Gul,T20I,0,94,7.29,15.19,41.75
Imad Wasim,PSL,0,94,7.09,27.11,38.91
MM Patel,ODI,1,93,4.89,27.47,58.72
WA Agar,BBL,0,93,9.09,22.15,38.7
DJ Bravo,T20I,0,93,8.11,21.59,30.51
M Kapp,T20I,7,93,5.6,17.89,53.42
SM Pollock,Test,5,93,2.5,27.81,79.86
A Shrubsole,ODI,1,93,4.18,23.43,65.5
GD McGrath,Test,5,93,2.39,20.39,82.0
EA Perry,T20I,7,93,5.84,16.88,52.2
I Ranaweera,T20I,2,93,6.01,17.02,41.14
A Gardner,T20I,0,93,6.6,18.23,39.94
Kuldeep Yadav,T20I,2,93,6.87,13.37,41.07
MRJ Watt,T20I,0,92,7.02,20.85,38.54
MJ McClenaghan,ODI,1,92,5.9,25.14,52.46
Junaid Siddique,ODI,1,92,5.1,26.27,59.84
B Muzarabani,T20I,0,92,6.86,20.51,47.45
IO Okpe,T20I,2,92,6.57,16.68,44.15
R Shepherd,CPL,0,92,8.37,18.67,43.59
B Kumar,T20I,0,92,7.05,22.55,49.29
A Shrubsole,T20I,7,92,5.92,14.51,54.66
ASS Fletcher,ODI,1,92,4.71,24.49,53.15
Fatima Sana,ODI,1,91,5.44,25.03,56.05
M Klaas,ODI,1,91,5.03,28.24,59.41
SM Sharif,T20I,0,91,8.02,20.44,37.46
DS Kulkarni,IPL,0,91,8.27,27.19,42.64
S Glenn,T20I,2,91,6.05,16.12,42.57
Z Bimenyimana,T20I,0,91,7.14,19.79,49.83
Sompal Kami,T20I,0,91,7.16,20.41,47.01
A King,ODI,1,91,4.28,17.57,56.61
HH Pandya,ODI,6,91,5.59,34.47,51.78
Imran Anwar,T20I,0,91,7.07,19.82,43.15
SJ Benn,Test,5,90,2.79,36.66,74.1
T Shamsi,T20I,0,90,7.43,20.6,35.98
L Ngidi,T20I,0,90,8.6,20.44,42.71
M Jansen,Test,1,89,3.27,21.12,74.86
CE Dean,ODI,1,89,4.7,22.27,56.88
PA van Meekeren,T20I,0,89,7.09,19.75,46.24
JM Bird,BBL,0,89,7.37,23.87,43.32
Ravi Bishnoi,IPL,3,89,8.34,28.02,34.43
KV Sharma,IPL,3,89,8.38,24.89,34.01
Mohammad Amir,ODI,1,88,4.78,26.81,58.29
CK Langeveldt,ODI,1,88,5.16,29.55,56.69
KOK Williams,CPL,0,88,8.47,20.95,37.06
Mohammad Irfan,ODI,1,88,4.9,28.97,60.16
HH Pandya,IPL,3,88,9.32,31.11,34.62
M Morkel,IPL,0,88,7.63,23.74,44.95
E Chigumbura,ODI,6,88,5.85,39.66,52.83
R Shepherd,T20I,3,87,9.98,25.55,30.22
DJG Sammy,ODI,6,87,4.68,43.4,52.73
Hasan Ali,Test,5,87,3.01,26.9,77.33
PJ Cummins,IPL,3,87,8.76,29.2,38.05
RW Price,ODI,6,87,4.12,32.41,57.07
Rohan Mustafa,ODI,1,87,4.49,29.95,53.85
P Kumar,ODI,1,86,5.13,32.26,57.89
K Rabada,T20I,3,86,8.33,26.62,42.69
C de Lange,T20I,7,86,5.14,16.28,47.12
Wahab Riaz,Test,5,86,3.33,33.3,71.35
DJG Sammy,Test,5,86,2.89,34.97,75.28
JP Faulkner,BBL,0,86,7.68,18.88,41.64
M Theekshana,T20I,0,86,7.04,24.02,39.07
Imran Tahir,IPL,0,86,7.76,19.8,34.24
W Mwatile,T20I,7,86,4.44,14.93,64.71
CA Young,T20I,0,85,8.18,20.59,39.8
CJ Green,CPL,2,85,6.47,22.59,45.96
