striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
LH Ferguson,BBL,7,7.0,77.78,9.0,75.0,90.7,Good
LH Ferguson,IPL,4,4.0,400.0,18.0,153.19,141.7,On Fire
LH Ferguson,T20I,9,9.0,81.82,4.5,85.71,147.7,On Fire
LH Rodrigues,T20I,200,26.605,114.945,15.58,96.42,145.0,On Fire
LI Salomone,T20I,40,5.75,77.22,5.64,64.58,110.8,On Fire
LJ Barker,T20I,69,8.145,80.15,7.71,85.71,99.6,Good
LJ Evans,BBL,125,14.765,148.11,31.48,156.83,70.7,Average
LJ Leokaoke,T20I,186,62.0,135.77,32.67,117.37,152.7,On Fire
LJ Myott,T20I,3,3.0,37.5,10.5,100.0,33.0,Poor
LJ Payas,T20I,5,5.0,62.5,25.5,107.37,38.9,Poor
LK Bell,ODI,39,10.5,55.144999999999996,8.29,58.0,110.9,On Fire
LK Bell,T20I,4,1.25,63.635,2.0,33.33,126.7,On Fire
LK Bell,Test,10,4.25,13.125,7.33,20.95,60.3,Average
LK Bell,WPL,1,1.0,100.0,1.0,100.0,100.0,Good
LK Hamilton,Test,23,23.0,42.59,23.0,42.59,100.0,Good
LK Hamilton,WPL,36,36.0,189.47,36.0,189.47,100.0,Good
LL Dimba,T20I,219,13.835,85.83,17.19,83.95,91.4,Good
LL Htun,T20I,64,9.875,56.565,7.57,55.59,116.1,On Fire
LM Gabriel,T20I,81,8.1,64.8,10.65,85.38,76.0,Average
LM Gwebu,T20I,3,0.5,6.52,0.5,6.52,100.0,Good
LM Massawe,T20I,0,0.0,0.0,28.0,90.32,0.0,
LMM Tahuhu,ODI,20,6.67,86.96,9.73,88.24,83.6,Average
LMM Tahuhu,T20I,2,2.0,50.0,11.24,111.32,31.4,Poor
LN Oluoch,T20I,106,20.875,123.25500000000001,14.31,111.71,128.1,On Fire
LN Rajbanshi,ODI,5,0.835,27.78,3.5,24.28,69.1,Average
LN Rajbanshi,T20I,1,0.5,16.665,4.0,44.44,25.0,Poor
LN Saishiv,T20I,31,31.0,100.0,31.0,100.0,100.0,Good
LN Shabalala,T20I,26,2.36,17.69,2.36,17.69,100.0,Good
LR Gaonkar,T20I,24,12.0,96.0,11.17,83.75,111.0,On Fire
LR Morris,BBL,0,0.0,0.0,1.5,27.27,0.0,
LR Naylor,ODI,14,14.0,63.64,17.0,79.07,81.4,Average
LR Naylor,T20I,8,4.0,61.54,4.0,61.54,100.0,Good
LRPL Taylor,T20I,45,22.5,88.24,24.99,122.08,81.2,Average
LS Barkania,T20I,5,5.0,55.56,14.0,56.0,67.5,Average
LS Boucher,CPL,3,1.5,30.0,17.57,99.19,19.4,Poor
LS Livingstone,IPL,127,11.75,96.665,25.38,155.17,54.3,Poor
LS Livingstone,ODI,78,13.0,80.41,31.45,108.57,57.7,Poor
LS Livingstone,T20I,74,14.8,127.59,24.37,149.35,73.1,Average
LS Simelane,T20I,0,0.0,0.0,0.0,0.0,0.0,
LT Bichard,T20I,3,1.5,30.0,6.67,71.43,32.2,Poor
LU Igalagamage,Test,266,60.0,72.12,53.2,73.08,105.7,Good
LV Boas,T20I,358,13.77,93.41499999999999,11.91,90.85,109.2,Good
LV van Beek,ODI,49,24.5,119.51,24.09,87.94,118.8,On Fire
LV van Beek,T20I,6,3.0,75.0,7.71,80.6,66.0,Average
LY Loch Srey,T20I,2,2.0,28.57,0.8,16.0,214.3,On Fire
Laiba,T20I,5,2.5,23.81,2.5,23.81,100.0,Good
Laiba Nasrullah,T20I,3,1.5,4.84,1.5,8.33,79.1,Average
Lakshit Gupta,T20I,137,45.67,113.22,24.15,104.09,148.9,On Fire
Lata Mondal,T20I,18,18.0,42.86,9.14,59.63,134.4,On Fire
Laura-Anette Taei,T20I,2,2.0,28.57,2.0,28.57,100.0,Good
Lee Hyosin,T20I,7,7.0,50.0,7.0,50.0,100.0,Good
Leitu Leong,T20I,15,7.5,71.43,3.33,54.05,178.7,On Fire
Lihara Ayeysekara,T20I,4,1.0,8.335,1.33,13.79,67.8,Average
Likitha Yadav,T20I,35,7.835,51.5,7.17,43.0,114.5,On Fire
Liton Das,ODI,300,21.43,41.095,28.48,85.27,61.7,Average
Liton Das,T20I,673,25.975,140.18,23.5,128.96,109.6,Good
Liton Das,Test,568,57.29,68.46000000000001,35.99,60.22,136.4,On Fire
Lokesh Bam,T20I,183,25.564999999999998,168.195,17.93,147.8,128.2,On Fire
Lopamudra,T20I,10,2.5,41.665,3.25,29.21,109.8,Good
Lovedeep Singh,T20I,4,2.0,50.0,2.0,50.0,100.0,Good
Luca Petre,T20I,33,16.5,134.42000000000002,13.67,120.59,116.1,On Fire
Lucas Rossi,T20I,79,15.335,100.64999999999999,13.53,91.44,111.7,On Fire
Lucky Ali,T20I,36,18.0,91.88499999999999,15.45,83.74,113.1,On Fire
Luis Hermida,T20I,53,26.5,85.48,22.11,73.7,117.9,On Fire
Lujaina,T20I,29,4.83,45.83,4.83,53.7,92.7,Good
Luka Woods,T20I,259,43.17,157.93,27.64,140.74,134.2,On Fire
Luqman Butt,T20I,258,32.25,152.66,39.82,145.03,93.1,Good
Luqman Hussan,T20I,25,6.25,64.1,6.25,64.1,100.0,Good
Ly Saomakara,T20I,23,7.67,28.75,5.6,31.82,113.7,On Fire
M Abadjieva,T20I,34,8.665,44.394999999999996,4.86,39.53,145.3,On Fire
M Akayezu,T20I,127,19.25,171.175,8.76,118.97,181.8,On Fire
M Akhigbe,T20I,1,0.5,20.0,6.0,88.89,15.4,Poor
M Ariokot,T20I,140,10.695,82.795,12.13,72.22,101.4,Good
M Artur,T20I,53,10.375,87.39500000000001,4.31,65.12,187.5,On Fire
M Ayodhya,T20I,4,4.0,50.0,4.0,50.0,100.0,Good
M Batnasan,T20I,50,7.0,77.715,5.2,73.58,120.1,On Fire
M Bayram,T20I,115,16.43,151.32,16.43,151.32,100.0,Good
M Bean,BBL,1,1.0,100.0,1.0,100.0,100.0,Good
M Beardman,BBL,2,2.0,33.33,2.0,33.33,100.0,Good
M Beitaki,T20I,23,5.75,69.7,10.53,94.61,64.1,Average
M Bestani,T20I,84,21.0,71.43,21.0,91.3,89.1,Good
M Bhaiji,T20I,136,15.11,129.52,15.11,129.52,100.0,Good
M Bhatia,T20I,126,10.920000000000002,101.5,14.0,144.83,74.0,Average
M Bibi,T20I,340,18.905,100.095,12.57,86.54,133.0,On Fire
M Biu,T20I,60,12.0,89.55,10.17,84.72,111.8,On Fire
M Bryant,BBL,405,30.865,158.465,23.19,141.04,122.7,On Fire
M Bryant,PSL,49,16.33,163.33,16.33,163.33,100.0,Good
M Campopiano,T20I,16,4.0,47.5,22.89,125.0,27.7,Poor
M Castineiras,T20I,62,6.25,37.945,22.94,95.32,33.5,Poor
M Chabula,T20I,13,4.33,13.54,4.33,13.54,100.0,Good
M Chadha,T20I,87,29.0,110.13,32.0,109.4,95.6,Good
M Choamba,T20I,110,10.59,73.255,9.8,71.01,105.6,Good
M Clarke,CPL,12,12.0,400.0,6.0,240.0,183.3,On Fire
M Coetzee,T20I,11,5.5,57.89,19.56,130.05,36.3,Poor
M Corazon,T20I,403,33.58,127.13,28.7,118.84,112.0,On Fire
M Dale-Bradley,T20I,102,16.95,129.405,16.0,120.75,106.6,Good
M Dlamini,T20I,140,11.67,50.18,8.57,52.63,115.8,On Fire
M Elikana,T20I,6,3.0,30.0,3.0,30.0,100.0,Good
M Faisal,ODI,4,4.0,20.0,15.0,44.12,36.0,Poor
M Fontaine,T20I,6,3.0,75.0,7.5,91.84,60.8,Average
M Frey,T20I,2,2.0,50.0,1.2,33.33,158.3,On Fire
M Gilkes,BBL,366,20.29,136.445,20.56,123.61,104.5,Good
M Gill,ODI,124,41.33,72.51,41.33,72.51,100.0,Good
M Gill,T20I,15,15.0,75.0,9.33,77.78,128.6,On Fire
M Gogev,T20I,347,28.215,137.85500000000002,25.22,150.33,101.8,Good
M Gorases,T20I,281,16.84,72.515,12.33,71.67,118.9,On Fire
M Heingo,ODI,0,0.0,0.0,0.0,0.0,0.0,
M Heingo,T20I,0,0.0,0.0,0.0,0.0,0.0,
M Hill,T20I,679,24.310000000000002,82.655,25.95,98.21,88.9,Good
M Holmes,T20I,9,9.0,52.94,9.0,52.94,100.0,Good
M Hundal,T20I,8,4.0,25.0,2.67,44.44,103.0,Good
M Ibrahim,T20I,6,2.0,14.63,1.17,12.28,145.0,On Fire
M Janicijevic,T20I,3,3.0,60.0,3.0,60.0,100.0,Good
M Jansen,IPL,126,15.75,116.19,12.0,110.34,118.3,On Fire
M Jansen,ODI,92,23.0,146.03,26.33,112.63,108.5,Good
M Jansen,T20I,86,32.125,130.95,18.0,144.0,134.7,On Fire
M Jansen,Test,180,30.0,93.26,23.11,54.5,150.5,On Fire
M Jele,T20I,6,3.0,50.0,3.82,60.0,80.9,Average
M Jevdjenovic,T20I,10,5.0,50.0,5.0,50.0,100.0,Good
M Kachingo,T20I,6,1.2,12.0,1.2,12.0,100.0,Good
M Kapp,ODI,395,49.38,98.5,35.74,88.91,124.5,On Fire
M Kapp,T20I,152,24.54,115.24000000000001,20.21,107.78,114.2,On Fire
M Kapp,WPL,155,19.375,119.08000000000001,27.4,123.8,83.4,Average
M Kasselman,T20I,294,29.4,109.69,25.5,117.09,104.5,Good
M Kaswan,T20I,2,2.0,22.22,2.0,22.22,100.0,Good
M Kearvell,T20I,78,26.0,93.98,26.0,93.98,100.0,Good
M Kelly,BBL,0,0.0,0.0,13.57,121.79,0.0,
M Khauta,T20I,9,9.0,150.0,9.0,150.0,100.0,Good
M Khojbariya,T20I,87,7.25,47.8,12.71,102.3,51.9,Poor
M Klaas,ODI,36,12.0,59.02,6.14,43.41,165.7,On Fire
M Klaas,T20I,13,6.5,59.09,4.22,65.52,122.1,On Fire
M Kojo,T20I,5,5.0,41.67,5.0,41.67,100.0,Good
M Koli,T20I,23,8.0,98.845,11.56,114.29,77.8,Average
M Kulfiwala,T20I,1,1.0,50.0,1.0,50.0,100.0,Good
M Labuschagne,BBL,100,44.25,135.415,22.17,121.09,155.7,On Fire
M Labuschagne,ODI,202,22.925,67.91,34.49,81.92,74.7,Average
M Labuschagne,PSL,344,28.67,130.3,28.67,130.3,100.0,Good
M Labuschagne,Test,356,31.675,64.49000000000001,45.57,52.23,96.5,Good
M Leporoporo,T20I,0,0.0,0.0,0.0,0.0,0.0,
M Levitt,ODI,247,30.88,86.97,26.06,83.9,111.1,On Fire
M Levitt,T20I,405,26.175,137.015,31.9,142.2,89.2,Good
M Lollo,T20I,111,15.875,82.06,11.0,76.3,125.9,On Fire
M Louis,CPL,9,4.5,112.5,23.33,140.0,49.8,Poor
M Louis,Test,36,6.0,29.75,18.45,41.14,52.4,Poor
M Machado,T20I,28,9.33,84.85,14.8,118.4,67.4,Average
M Madara,ODI,17,4.375,25.59,3.4,25.0,115.5,On Fire
M Madara,T20I,14,7.0,51.28,14.0,50.0,76.3,Average
M Magagula,T20I,42,6.75,101.21000000000001,8.0,64.71,120.4,On Fire
M Maguire,T20I,29,5.8,65.91,7.8,61.42,90.8,Good
M Mangru,ODI,7,3.5,77.78,7.75,45.59,107.9,Good
M Mangru,T20I,19,6.33,86.36,7.0,84.0,96.6,Good
M Mani,WPL,22,5.5,123.375,4.0,84.85,141.5,On Fire
M Mariyappan,T20I,5,1.67,26.32,3.83,48.94,48.7,Poor
M Martinez,T20I,9,2.25,45.0,7.67,67.65,47.9,Poor
M Mavunga,ODI,10,2.75,47.115,3.25,40.62,100.3,Good
M Mavunga,T20I,30,10.0,96.77,8.8,95.65,107.4,Good
M McColl,ODI,129,25.8,92.81,19.0,83.27,123.6,On Fire
M McColl,T20I,237,15.85,122.195,13.73,103.9,116.5,On Fire
M Modise,T20I,16,8.0,59.26,8.0,59.26,100.0,Good
M Mohapi,T20I,8,8.0,100.0,8.0,100.0,100.0,Good
M Mooketsi,T20I,0,0.0,0.0,4.75,52.29,0.0,
M Mpongwana,ODI,1,1.0,50.0,1.0,50.0,100.0,Good
M Mupachikwa,ODI,245,20.0,60.64,24.84,57.71,92.8,Good
M Mupachikwa,T20I,333,23.625,80.41499999999999,28.28,84.15,89.6,Good
M Musinguzi,T20I,4,4.0,100.0,4.0,100.0,100.0,Good
M Mwangi,T20I,34,17.0,66.67,13.23,69.35,112.3,On Fire
M Mwatile,T20I,460,17.985,90.025,13.88,85.69,117.3,On Fire
M Nanayakkara,ODI,14,4.67,42.42,4.67,42.42,100.0,Good
M Nanayakkara,T20I,35,35.0,109.38,35.0,109.38,100.0,Good
M Ndhambi,T20I,79,39.5,71.82,25.5,72.34,127.1,On Fire
M Ndipo,T20I,17,3.4,42.5,3.4,42.5,100.0,Good
M Nguni,T20I,18,4.5,25.71,4.5,25.71,100.0,Good
M Nikolic,T20I,40,20.0,76.92,13.8,52.67,145.5,On Fire
M Ogawa,T20I,3,3.0,27.27,13.0,52.0,37.8,Poor
M Ozturk,T20I,31,10.33,106.9,8.0,74.82,136.0,On Fire
M Parinitha,T20I,1,1.0,20.0,1.0,20.0,100.0,Good
M Pathirana,T20I,2,2.0,40.0,1.6,40.0,112.5,On Fire
M Patwardhan,ODI,1,0.33,7.69,0.33,7.69,100.0,Good
M Patwardhan,T20I,1,1.0,25.0,1.0,25.0,100.0,Good
M Perisic,T20I,34,4.46,35.445,8.73,48.73,61.9,Average
M Perry,BBL,3,3.0,100.0,3.0,100.0,100.0,Good
M Phiase,T20I,33,5.5,43.33,3.07,44.79,137.9,On Fire
M Podosky,T20I,306,27.82,120.0,19.19,111.64,126.2,On Fire
M Polimeri,T20I,50,7.25,56.32,6.0,53.23,113.3,On Fire
M Prasidh Krishna,IPL,6,6.0,85.71,7.5,48.39,128.6,On Fire
M Prasidh Krishna,ODI,0,0.0,0.0,0.67,10.0,0.0,
M Prasidh Krishna,T20I,2,2.0,66.67,2.0,66.67,100.0,Good
M Prasidh Krishna,Test,10,2.5,20.41,1.67,15.38,141.2,On Fire
M Raikes,T20I,222,55.5,160.87,41.33,154.04,119.4,On Fire
M Rathnayake,T20I,117,8.5,65.965,12.32,76.24,77.8,Average
M Ravula,T20I,59,59.0,100.0,59.0,100.0,100.0,Good
M Ribeiro,T20I,11,3.835,39.705,2.0,26.67,170.3,On Fire
M Robinson,T20I,5,5.0,62.5,59.0,62.11,54.6,Poor
M Saastamoinen,T20I,23,4.6,58.97,4.6,58.97,100.0,Good
M Sarenac,T20I,4,4.0,133.33,2.0,38.46,273.3,On Fire
M Sefati,T20I,1,0.5,25.0,0.5,25.0,100.0,Good
M Separovic,T20I,1,1.0,33.33,1.0,33.33,100.0,Good
M Shahbaz Butt,T20I,35,8.75,59.89,8.75,70.0,92.8,Good
M Shahrukh Khan,IPL,222,22.08,154.65,22.79,147.9,100.7,Good
M Shehani,T20I,5,5.0,45.45,4.73,65.82,87.4,Good
M Sheriff,T20I,3,3.0,42.86,3.25,72.22,75.8,Average
M Shumba,T20I,34,17.0,87.18,20.5,109.63,81.2,Average
M Simpson-Parker,T20I,146,146.0,178.05,25.53,121.59,359.2,On Fire
M Smit,ODI,116,29.0,78.91,29.0,78.91,100.0,Good
M Smit,T20I,81,40.5,132.79,36.5,119.67,111.0,On Fire
M Smith,T20I,40,13.33,83.33,13.33,83.33,100.0,Good
M Sohel Patel,T20I,12,12.0,92.31,9.0,100.0,112.8,On Fire
M Spoors,BBL,50,12.75,73.03999999999999,19.75,100.0,68.8,Average
M Spoors,ODI,65,21.67,58.56,24.17,57.09,96.1,Good
M Stanikzai,T20I,247,17.81,152.60500000000002,15.65,147.78,108.5,Good
M Stevanovic,T20I,20,6.67,125.0,6.67,125.0,100.0,Good
M Stolt,T20I,14,3.5,40.0,3.5,40.0,100.0,Good
M Syahadat Ramli,T20I,304,18.905,99.63499999999999,21.19,103.81,92.6,Good
M Syrioti,T20I,93,10.325,55.235,20.07,67.19,66.8,Average
M Taniyama,T20I,32,16.0,64.0,12.12,84.35,103.9,Good
M Tarimiala,T20I,26,3.8,43.05,5.67,52.31,74.7,Average
M Taylor,T20I,336,28.97,99.89500000000001,20.03,96.43,124.1,On Fire
M Theekshana,IPL,10,5.0,37.04,5.67,50.0,81.1,Average
M Theekshana,ODI,50,10.0,58.82,15.78,50.99,89.4,Good
M Theekshana,PSL,2,2.0,50.0,2.0,50.0,100.0,Good
M Theekshana,T20I,46,4.6,60.4,4.32,62.43,101.6,Good
M Tiwari,IPL,21,10.5,150.0,21.0,175.0,67.9,Average
M Tom,ODI,3,3.0,42.86,3.0,42.86,100.0,Good
M Tom,T20I,12,6.0,266.665,17.0,141.67,111.8,On Fire
M Trajkovi,T20I,7,7.0,41.18,3.5,36.84,155.9,On Fire
M Trejbalova,T20I,1,1.0,3.7,1.0,3.7,100.0,Good
M Turay,T20I,111,7.4,60.99,7.62,61.54,98.1,Good
M Turner,T20I,25,25.0,119.05,25.0,119.05,100.0,Good
M Upadhayay,T20I,7,1.5,26.785,2.33,28.0,80.0,Average
M Uwase,T20I,361,16.305,92.75,14.64,88.49,108.1,Good
M Vaik,T20I,6,3.0,85.71,7.57,53.0,100.7,Good
M Valner,T20I,8,1.375,17.439999999999998,3.25,26.0,54.7,Poor
M Vandrasi,T20I,69,17.25,88.46,27.33,105.13,73.6,Average
M Vervitsioti,T20I,24,4.0,37.725,3.27,40.45,107.8,Good
M Viswanathan,T20I,0,0.0,0.0,0.0,0.0,0.0,
M Wai Siu,T20I,46,9.335,50.39,7.73,48.02,112.8,On Fire
M Whelan,T20I,0,0.0,0.0,11.67,114.75,0.0,
M Wright,BBL,58,29.0,144.615,26.32,122.55,114.1,On Fire
M Yambayamba,T20I,7,7.0,53.85,7.0,53.85,100.0,Good
M Yanagida,T20I,278,18.4,87.72999999999999,16.87,80.43,109.1,Good
M Zdravkova,T20I,0,0.0,0.0,0.0,0.0,0.0,
M Zhu,T20I,262,13.925,94.785,11.2,82.35,119.7,On Fire
M van Lingen,ODI,94,23.5,65.73,38.72,90.17,66.8,Average
MA Abbas,ODI,162,27.0,79.485,27.0,79.8,99.8,Good
MA Agarwal,IPL,95,31.67,148.44,23.23,133.79,123.6,On Fire
MA Algi,T20I,25,9.5,111.155,12.5,108.7,89.1,Good
MA Baig,T20I,29,9.67,69.05,32.29,88.28,54.1,Poor
MA Jones,T20I,142,35.5,142.0,26.14,138.64,119.1,On Fire
MA Leask,ODI,252,22.125,116.67,25.97,113.47,94.0,Good
MA Leask,T20I,175,15.875,128.055,16.66,130.04,96.9,Good
MA Nyabela,T20I,68,7.875,52.925000000000004,5.75,49.73,121.7,On Fire
MA Parker,T20I,3,3.0,37.5,3.0,37.5,100.0,Good
MA Sherry,T20I,79,11.165,98.59,13.17,89.77,97.3,Good
MA Starc,BBL,2,2.0,66.67,5.0,88.24,57.8,Poor
MA Starc,IPL,6,1.5,30.0,10.09,91.74,23.8,Poor
MA Starc,ODI,6,3.0,50.0,12.59,77.41,44.2,Poor
MA Starc,Test,289,14.335,44.85,20.65,59.32,72.5,Average
MA Tsemane,T20I,5,2.5,26.32,1.43,17.54,162.4,On Fire
MA Wood,ODI,9,9.0,112.5,24.5,105.0,71.9,Average
MA Wood,T20I,16,16.0,106.67,27.0,96.43,84.9,Average
MA Wood,Test,4,4.0,200.0,15.9,70.95,153.5,On Fire
MAA Sanjeewani,ODI,183,14.355,53.855,17.0,61.82,85.8,Good
MAA Sanjeewani,T20I,1,1.0,33.33,15.11,90.91,21.6,Poor
MADI Hemantha,T20I,29,11.835,81.93,9.67,85.29,109.2,Good
MB Kruger,ODI,399,24.71,62.43000000000001,24.04,65.6,99.0,Good
MB Kruger,T20I,177,11.055,85.53999999999999,16.59,107.85,73.0,Average
MB Tambe,T20I,13,5.5,82.14500000000001,7.67,68.15,96.1,Good
MB dos Santos,T20I,0,0.0,0.0,2.0,33.33,0.0,
MBA Lamplough,T20I,135,15.0,100.0,11.92,84.37,122.2,On Fire
MBT Montero,T20I,2,1.0,4.65,1.0,4.65,100.0,Good
MC Alex,T20I,10,2.5,47.62,2.25,39.13,116.4,On Fire
MC Henriques,BBL,311,17.25,116.995,27.28,129.43,76.8,Average
MCE Manalo,T20I,12,12.0,85.71,12.0,85.71,100.0,Good
MD Bimenyimana,T20I,480,18.935,75.745,18.64,73.35,102.4,Good
MD Botha,ODI,103,25.75,69.13,25.75,69.13,100.0,Good
MD Botha,T20I,177,17.7,85.1,17.7,85.1,100.0,Good
MD Byrne,T20I,0,0.0,0.0,0.0,0.0,0.0,
MD Choudhary,IPL,170,28.33,141.67,28.33,141.67,100.0,Good
MD Fisher,Test,50,50.0,58.82,50.0,55.56,102.9,Good
MD Patel,ODI,429,25.29,78.38499999999999,32.19,81.41,87.4,Good
MD Patel,T20I,456,57.0,152.935,28.89,137.93,154.1,On Fire
MD Rae,Test,13,13.0,118.18,13.0,118.18,100.0,Good
MD Rocha,T20I,13,6.5,55.21,8.75,54.69,87.6,Good
MD Shanaka,IPL,63,15.75,136.96,14.83,123.61,108.5,Good
MD Shanaka,T20I,552,23.77,150.655,21.76,129.16,112.9,On Fire
MDKJ Perera,PSL,380,57.5,158.655,42.22,155.74,119.0,On Fire
MDKJ Perera,T20I,352,16.03,137.945,25.04,132.35,84.1,Average
ME Bessala,T20I,104,11.56,107.22,10.16,72.28,131.1,On Fire
ME Bouchier,ODI,85,19.085,77.89,33.81,104.04,65.7,Average
ME Bouchier,T20I,91,20.335,88.225,21.05,117.99,85.7,Good
ME Bouchier,Test,28,7.0,30.835,25.67,62.1,38.5,Poor
ME Leoela,T20I,4,2.0,16.67,4.0,43.08,44.3,Poor
MF Hurst,BBL,23,23.0,100.0,12.8,91.43,144.5,On Fire
MF Manjate,T20I,1,0.5,25.0,0.33,20.0,138.3,On Fire
MFD Douma,T20I,12,2.4,48.0,2.5,40.54,107.2,Good
MFI Assuncao,T20I,81,8.5,70.5,8.0,79.56,97.4,Good
MG Bracewell,ODI,447,36.075,98.995,34.17,107.95,98.6,Good
MG Bracewell,PSL,273,20.485,161.82,21.0,165.45,97.7,Good
MG Bracewell,T20I,176,22.0,139.68,22.84,134.37,100.1,Good
MG Bracewell,Test,80,26.67,57.14,22.6,57.07,109.1,Good
MG Erasmus,ODI,351,19.335,64.685,32.74,76.28,71.9,Average
MG Erasmus,T20I,621,28.175,142.21,31.51,129.25,99.7,Good
MG Maceira,T20I,2,2.0,100.0,2.0,100.0,100.0,Good
MG Neser,BBL,66,33.0,212.5,14.02,131.52,198.5,On Fire
MG Neser,Test,75,20.5,40.175,18.71,50.97,94.2,Good
MH Cross,ODI,337,26.125,84.305,24.24,71.32,113.0,On Fire
MH Cross,T20I,189,22.435000000000002,127.82000000000001,22.78,115.59,104.5,Good
MH Ushanga,T20I,18,3.6,54.55,3.92,63.51,88.9,Good
MI Khagoitsa,T20I,18,4.5,50.0,11.64,85.33,48.6,Poor
MIW van den Raad,T20I,59,6.05,55.785,9.0,82.89,67.3,Average
MJ Ansell,T20I,2,2.0,100.0,7.71,85.71,71.3,Average
MJ Fisher,ODI,2,1.0,33.33,1.0,33.33,100.0,Good
MJ Hay,ODI,127,22.835,113.42500000000001,26.57,104.49,97.2,Good
MJ Hay,T20I,45,9.0,102.27,11.12,125.35,81.3,Average
MJ Hay,Test,61,61.0,65.59,61.0,65.59,100.0,Good
MJ Henry,IPL,7,3.5,70.0,3.5,70.0,100.0,Good
MJ Henry,ODI,15,5.0,115.38,10.8,93.1,85.1,Good
MJ Henry,T20I,23,10.0,94.05000000000001,5.83,106.06,130.1,On Fire
MJ Henry,Test,27,4.25,57.5,15.72,75.53,51.6,Poor
MJ Humphreys,ODI,0,0.0,0.0,6.0,60.0,0.0,
MJ Humphreys,T20I,14,3.0,84.42,2.8,73.68,110.9,On Fire
MJ Humphreys,Test,29,5.8,43.28,11.17,44.08,75.1,Average
MJ Massawe,T20I,0,0.0,0.0,0.0,0.0,0.0,
MJ Owen,BBL,499,25.375,215.305,26.81,186.86,104.9,Good
MJ Owen,IPL,0,0.0,0.0,0.0,0.0,0.0,
MJ Owen,ODI,37,18.5,137.04,18.5,137.04,100.0,Good
MJ Owen,PSL,102,14.57,192.45,14.57,192.45,100.0,Good
MJ Owen,T20I,179,18.189999999999998,123.57,19.89,147.93,87.5,Good
MJ Potts,Test,19,19.0,32.2,9.55,46.26,134.3,On Fire
MJ Santner,IPL,66,23.0,129.025,17.0,110.57,126.0,On Fire
MJ Santner,ODI,251,47.07,92.28,27.36,91.76,136.3,On Fire
MJ Santner,T20I,345,37.69,167.595,21.04,131.66,153.2,On Fire
MJ Santner,Test,23,10.5,45.0,24.75,47.04,69.0,Average
MJ Scotland,T20I,123,41.0,103.36,41.0,103.36,100.0,Good
MJ Swepson,BBL,23,4.165,93.75,5.05,104.95,85.9,Good
MJ Tugaga,T20I,3,1.5,75.0,3.0,100.0,62.5,Average
MJM Kavana,T20I,18,4.5,51.43,5.4,50.94,92.1,Good
MK Amusa,T20I,219,15.75,63.45,14.6,64.99,102.8,Good
MK Gnanasekaram,T20I,3,3.0,60.0,3.0,60.0,100.0,Good
MK Pandey,IPL,162,40.5,142.2,29.35,121.96,127.3,On Fire
MK Thakur,T20I,52,7.875,92.675,14.42,120.14,65.9,Average
MK Villiers,Test,36,18.0,37.5,18.0,37.5,100.0,Good
ML Castillo,T20I,68,34.0,107.94,15.58,93.5,166.8,On Fire
ML Green,ODI,769,61.5,97.245,31.54,77.25,160.4,On Fire
ML Green,T20I,335,39.82,136.365,20.62,108.85,159.2,On Fire
ML Karlsen,T20I,57,10.165,66.245,13.56,58.37,94.2,Good
ML Kostic,T20I,99,24.75,101.02,15.88,96.95,130.0,On Fire
ML Schutt,ODI,2,1.0,20.0,6.0,52.17,27.5,Poor
MLG Silva,T20I,95,6.34,61.67,5.74,60.89,105.9,Good
MLN Sissako,T20I,139,12.64,60.96,11.84,63.38,101.5,Good
MM Ali,CPL,94,10.44,89.52,15.47,101.94,77.7,Average
MM Ali,IPL,5,2.5,35.71,22.88,139.76,18.2,Poor
MM Ali,PSL,198,28.29,159.68,24.0,146.09,113.6,On Fire
MM Baig,T20I,311,29.55,153.975,18.39,128.79,140.1,On Fire
MM Chaudhary,T20I,18,3.6,41.86,4.25,41.98,92.2,Good
MM Dekeling,T20I,25,4.25,49.019999999999996,4.62,52.86,92.4,Good
MM English,ODI,117,39.0,62.57,74.67,72.49,69.3,Average
MM Lanning,WPL,524,32.75,122.11,38.71,126.72,90.5,Good
MM Mabathoana,T20I,13,1.165,25.155,1.14,21.93,108.4,Good
MM Sharma,IPL,1,1.0,33.33,7.35,91.91,24.9,Poor
MNK Fernando,ODI,14,14.0,51.85,17.8,67.42,77.8,Average
MNK Fernando,T20I,8,4.0,66.67,4.0,66.67,100.0,Good
MNM Aslam,T20I,206,35.45,134.61,19.54,114.43,149.5,On Fire
MP Ainsworth,T20I,182,13.83,72.58500000000001,15.17,74.9,94.0,Good
MP Breetzke,IPL,14,14.0,116.67,14.0,116.67,100.0,Good
MP Breetzke,ODI,706,64.18,96.71,64.18,96.71,100.0,Good
MP Breetzke,T20I,7,2.33,53.85,14.36,116.18,31.3,Poor
MP Breetzke,Test,14,7.0,27.45,4.67,25.45,128.9,On Fire
MP Kuhnemann,BBL,42,21.0,63.635,9.88,87.78,142.5,On Fire
MP Kuhnemann,ODI,38,12.67,46.91,10.8,56.84,99.9,Good
MP Kuhnemann,T20I,7,2.33,53.85,2.33,53.85,100.0,Good
MP Kuhnemann,Test,6,6.0,75.0,4.5,26.87,206.2,On Fire
MP Kulkarni,T20I,2,2.0,50.0,2.0,50.0,100.0,Good
MP O'Dowd,ODI,576,33.025,75.09,32.72,73.34,101.7,Good
MP O'Dowd,T20I,339,26.625,122.495,27.51,122.81,98.3,Good
