striker,format,recent_runs,recent_avg,recent_sr,career_avg,career_sr,form_score,form_label
Hasan Mahmud,ODI,0,0.0,0.0,4.11,47.44,0.0,
Hasan Mahmud,T20I,43,43.0,119.44,50.0,98.04,103.9,Good
Hasan Mahmud,Test,66,16.5,54.845,12.36,41.19,133.3,On Fire
Hasan Murad,Test,27,13.5,56.25,13.5,56.25,100.0,Good
Hasan Yanar,T20I,16,8.0,55.17,8.0,55.17,100.0,Good
Haseebullah Khan,ODI,0,0.0,0.0,0.0,0.0,0.0,
Haseebullah Khan,PSL,130,18.875,107.535,19.19,120.39,93.8,Good
Hashir Dafedar,ODI,29,14.5,47.54,14.5,47.54,100.0,Good
Hasnain Ul Wahab,ODI,29,14.5,67.44,14.5,67.44,100.0,Good
Hassan Khan,BBL,173,15.835,126.26500000000001,14.92,133.58,100.3,Good
Hassan Khan,CPL,45,7.5,104.65,11.38,121.33,76.1,Average
Hassan Khan,PSL,139,23.17,195.77,18.4,142.27,131.8,On Fire
Hassan Khan,T20I,72,14.4,118.03,14.4,118.03,100.0,Good
Hassan Khan Mohammad,T20I,24,12.0,80.0,8.0,72.73,130.0,On Fire
Hassan Nasir,T20I,3,3.0,100.0,3.0,100.0,100.0,Good
Hassan Nawaz,ODI,113,56.5,88.98,56.5,88.98,100.0,Good
Hassan Nawaz,PSL,690,38.14,148.14999999999998,34.19,146.23,106.4,Good
Hassan Nawaz,T20I,424,22.32,161.22,21.95,152.96,103.5,Good
Hassnain Shah,ODI,86,20.165,115.83500000000001,17.2,121.13,106.4,Good
Hassnain Shah,T20I,1,0.33,16.67,0.33,16.67,100.0,Good
Hayatullah Niazi,T20I,53,53.0,182.76,24.0,137.14,177.0,On Fire
Heal Theara,T20I,0,0.0,0.0,1.75,20.0,0.0,
Het Patel,T20I,1,1.0,14.29,1.0,14.29,100.0,Good
Himmat Singh,IPL,92,30.67,133.33,30.67,133.33,100.0,Good
Hisham Sheikh,T20I,57,19.0,86.36,19.74,91.46,95.3,Good
Hiu Ying Cheung,T20I,30,11.625,62.455,5.89,75.71,139.9,On Fire
Hong Yali,T20I,5,5.0,71.43,5.0,71.43,100.0,Good
Hor Siv na,T20I,9,4.5,24.32,1.67,19.23,198.0,On Fire
Humna Bilal,T20I,2,2.0,66.67,2.0,66.67,100.0,Good
Hunain Shah,PSL,10,2.5,29.41,3.8,61.29,56.9,Poor
Hussain Talat,ODI,222,24.15,68.91,28.0,80.58,85.9,Good
Hussain Talat,PSL,205,41.0,134.87,23.88,123.81,140.3,On Fire
Hussain Talat,T20I,47,11.75,87.04,22.05,113.95,64.8,Average
Huzaif Yousuf,T20I,3,3.0,33.33,19.0,76.0,29.8,Poor
Huzaifa Mohammed,T20I,4,4.0,50.0,10.67,60.38,60.1,Average
I Asif,T20I,198,19.54,103.355,19.71,108.24,97.3,Good
I Barma,T20I,663,18.33,94.97999999999999,15.62,86.6,113.5,On Fire
I Bist,T20I,22,7.33,100.0,7.33,100.0,100.0,Good
I Chathurani,T20I,193,51.93,87.65,27.57,86.55,144.8,On Fire
I Chuma,T20I,160,10.0,59.87,9.28,65.72,99.4,Good
I Danladi,T20I,573,23.27,122.59,23.61,117.09,101.6,Good
I Dulani,ODI,127,24.835,46.62,23.67,56.8,93.5,Good
I Dulani,T20I,414,41.9,111.43,32.31,113.51,113.9,On Fire
I Edwards,T20I,12,3.75,31.665,6.0,30.77,82.7,Average
I Elec,T20I,56,14.0,96.55,9.0,74.23,142.8,On Fire
I Goordial-John,T20I,115,14.38,56.37,14.38,56.37,100.0,Good
I Kaia,ODI,55,18.33,48.67,20.37,62.82,83.7,Average
I Kaia,Test,140,140.0,61.67,62.4,60.7,163.0,On Fire
I Liyanage,T20I,270,27.535,125.49,30.49,123.5,96.0,Good
I Majdancic,T20I,22,22.0,91.67,22.0,91.67,100.0,Good
I Mugisha,T20I,36,9.0,138.46,9.67,109.43,109.8,Good
I Muhawenimana,T20I,4,4.0,133.33,4.67,66.67,142.8,On Fire
I Muntean,T20I,0,0.0,0.0,0.5,14.29,0.0,
